Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Stage 1,,,,,
,Scope,,,,
,Rows,,,,
,,Basement,,Basement,Stage 1
,,Level 1,,Level 1,Stage 1
,,Level 2,,Level 2,Stage 1
,,Level 3,,Level 3,Stage 1
,Columns,,,,
,,Columns,,Columns,Stage 1
,,Slab,,Slab,Stage 1
,,Screens,,Screens,Stage 1
,,Walls,,Walls,Stage 1
,,,,,
Stage 2,,,,,
,Scope,,,,
,Rows,,,,
,,Ground,,Ground,Stage 2
,,Level 1,,Level 1,Stage 2
,,Level 2,,Level 2,Stage 2
,Columns,,,,
,,Slab,,Slab,Stage 2
,,Columns,,Columns,Stage 2
