resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Job Details Checklist,,,,checklist,,,Job Details,,,,,,,,
SSSP Information Checklist,,,,checklist,,,SSSP Information,,,,,,,,
,,,,step,,,Daily Pre-Start,,,,,,,,
,,,,step,,,,January,,,,,,,
Prestart Checklist,,,,checklist,,,,,12/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,13/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,14/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,15/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,16/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,17/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,18/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,19/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,20/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,21/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,22/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,23/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,24/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,25/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,26/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,27/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,28/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,29/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,30/01/23,,,,,,
Prestart Checklist,,,,checklist,,,,,31/01/23,,,,,,
,,,,step,,,,February,,,,,,,
Prestart Checklist,,,,checklist,,,,,01/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,02/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,03/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,04/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,05/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,06/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,07/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,08/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,09/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,10/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,11/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,12/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,13/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,14/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,15/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,16/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,17/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,18/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,19/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,20/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,21/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,22/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,23/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,24/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,25/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,26/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,27/02/23,,,,,,
Prestart Checklist,,,,checklist,,,,,28/02/23,,,,,,
,,,,step,,,,March,,,,,,,
Prestart Checklist,,,,checklist,,,,,01/03/23,,,,,,
Prestart Checklist,,,,checklist,,,,,02/03/23,,,,,,
Prestart Checklist,,,,checklist,,,,,03/03/23,,,,,,
Prestart Checklist,,,,checklist,,,,,04/03/23,,,,,,
Prestart Checklist,,,,checklist,,,,,05/03/23,,,,,,
Prestart Checklist,,,,checklist,,,,,06/03/23,,,,,,
Prestart Checklist,,,,checklist,,,,,07/03/23,,,,,,
Prestart Checklist,,,,checklist,,,,,08/03/23,,,,,,
Prestart Checklist,,,,checklist,,,,,09/03/23,,,,,,
Prestart Checklist,,,,checklist,,,,,10/03/23,,,,,,
