"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Site QA","dynamic","site qa"
,"Columns"
,,"Internal Stormwater Drainage",,"internal stormwater drainage"
,,"Internal Sewer Drainage",,"internal sewer drainage"
,,"Ground External Stormwater Drainage",,"ground external stormwater drainage"
,,"Ground External Sewer Drainage",,"ground external sewer drainage"
,,"B1 Internal Stormwater Drainage",,"b1 internal stormwater drainage"
,,"B1 Internal Sewer Drainage",,"b1 internal sewer drainage"
,,"B1 Suspended Copper Works",,"b1 suspended copper works"
,,"External Stormwater Drainage",,"external stormwater drainage"
,,"External Sewer Drainage",,"external sewer drainage"
,,"B1",,"b1"
,,"Ground",,"ground"
,,"Level 1",,"level 1"
,,"Level 2",,"level 2"
,,"Level 3",,"level 3"
,,"Level 4",,"level 4"
,,"Level 5",,"level 5"
,,"Level 6",,"level 6"
,,"Level 7",,"level 7"
,,"Roof",,"roof"

"In-Ground - Detailed Progress"
,"Scope",,,"in-ground"
,"Rows"
,,"Building A - In-Ground","grouping","building a - in-ground"
,,"Internal Stormwater Drainage - Zone B",,"zone b","internal stormwater drainage","site qa","building a","in-ground"
,,"Internal Stormwater Drainage - Zone C",,"zone c","internal stormwater drainage","site qa","building a","in-ground"
,,"Internal Stormwater Drainage - Zone D",,"internal stormwater drainage","site qa","building a","in-ground","zone d"
,,"Internal Stormwater Drainage - Pits/Pumps/Tanks",,"pits/pumps/tanks","internal stormwater drainage","site qa","building a","in-ground"
,,"Internal Sewer Drainage - Zone B",,"zone b","internal sewer drainage","site qa","building a","in-ground"
,,"Internal Sewer Drainage - Zone C",,"zone c","internal sewer drainage","site qa","building a","in-ground"
,,"Internal Sewer Drainage - Zone D",,"internal sewer drainage","site qa","building a","in-ground","zone d"
,,"Internal Sewer Drainage - Pits/Pumps/Tanks",,"pits/pumps/tanks","internal sewer drainage","site qa","building a","in-ground"
,,"Ground External Stormwater Drainage - Zone B",,"zone b","site qa","building a","in-ground","ground external stormwater drainage"
,,"Ground External Stormwater Drainage - Zone C",,"zone c","site qa","building a","in-ground","ground external stormwater drainage"
,,"Ground External Stormwater Drainage - Zone D",,"site qa","building a","in-ground","zone d","ground external stormwater drainage"
,,"Ground External Stormwater Drainage - Pits/Pumps/Tanks",,"pits/pumps/tanks","site qa","building a","in-ground","ground external stormwater drainage"
,,"Ground External Sewer Drainage - Zone B",,"zone b","site qa","ground external sewer drainage","building a","in-ground"
,,"Ground External Sewer Drainage - Zone C",,"zone c","site qa","ground external sewer drainage","building a","in-ground"
,,"Ground External Sewer Drainage - Zone D",,"site qa","ground external sewer drainage","building a","in-ground","zone d"
