Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Fit Off - Detailed Progress,,,,,,,,
,Scope,,,fit off,,,,
,Rows,,,,,,,
,,Building A - Fit Off,grouping,building a - fit off,,,,
,,Ground - Apartment G.01,,apartment g.01,ground,site qa,fit off,building a
,,Ground - Apartment G.02,,apartment g.02,ground,site qa,fit off,building a
,,Ground - Apartment G.03,,ground,site qa,fit off,building a,apartment g.03
,,Ground - Apartment G.04,,ground,site qa,fit off,building a,apartment g.04
,,Ground - Apartment G.05,,ground,site qa,fit off,apartment g.05,building a
,,Ground - Apartment G.06,,ground,site qa,fit off,building a,apartment g.06
,,Ground - Apartment G.07,,ground,apartment g.07,site qa,fit off,building a
,,Ground - Apartment G.08,,ground,site qa,fit off,apartment g.08,building a
,,Ground - Apartment G.09,,apartment g.09,ground,site qa,fit off,building a
,,Ground - Apartment G.10,,ground,apartment g.10,site qa,fit off,building a
,,Ground - Apartment G.11,,ground,site qa,fit off,apartment g.11,building a
,,Ground - Apartment G.12,,apartment g.12,ground,site qa,fit off,building a
,,Ground - Apartment G.13,,apartment g.13,ground,site qa,fit off,building a
,,Ground - Apartment G.14,,ground,site qa,fit off,building a,apartment g.14
,,Ground - Apartment G.15,,ground,site qa,fit off,building a,apartment g.15
,,Ground - Apartment G.16,,ground,site qa,fit off,apartment g.16,building a
,,Ground - Apartment G.17,,ground,site qa,fit off,building a,apartment g.17
,,Ground - Apartment G.18,,ground,apartment g.18,site qa,fit off,building a
,,Ground - Apartment G.19,,ground,site qa,fit off,apartment g.19,building a
,,Ground - Apartment G.20,,ground,site qa,fit off,building a,apartment g.20
,,Ground - DDA Bathroom,,dda bathroom,ground,site qa,fit off,building a
,,Level 1 - Apartment 1.01,,apartment 1.01,site qa,fit off,building a,level 1
,,Level 1 - Apartment 1.02,,site qa,fit off,apartment 1.02,building a,level 1
,,Level 1 - Apartment 1.03,,apartment 1.03,site qa,fit off,building a,level 1
,,Level 1 - Apartment 1.04,,apartment 1.04,site qa,fit off,building a,level 1
,,Level 1 - Apartment 1.05,,site qa,fit off,building a,level 1,apartment 1.05
,,Level 1 - Apartment 1.06,,site qa,fit off,building a,level 1,apartment 1.06
,,Level 1 - Apartment 1.07,,site qa,fit off,apartment 1.07,building a,level 1
,,Level 1 - Apartment 1.08,,site qa,fit off,building a,level 1,apartment 1.08
,,Level 1 - Apartment 1.09,,apartment 1.09,site qa,fit off,building a,level 1
,,Level 1 - Apartment 1.10,,site qa,fit off,apartment 1.10,building a,level 1
,,Level 1 - Apartment 1.11,,site qa,fit off,building a,level 1,apartment 1.11
,,Level 1 - Apartment 1.12,,apartment 1.12,site qa,fit off,building a,level 1
,,Level 1 - Apartment 1.13,,site qa,fit off,apartment 1.13,building a,level 1
,,Level 1 - Apartment 1.14,,apartment 1.14,site qa,fit off,building a,level 1
,,Level 1 - Apartment 1.15,,apartment 1.15,site qa,fit off,building a,level 1
,,Level 1 - Apartment 1.16,,site qa,fit off,building a,level 1,apartment 1.16
,,Level 1 - Apartment 1.17,,site qa,fit off,building a,level 1,apartment 1.17
,,Level 1 - Apartment 1.18,,site qa,fit off,apartment 1.18,building a,level 1
,,Level 1 - Apartment 1.19,,site qa,fit off,building a,level 1,apartment 1.19
,,Level 1 - Apartment 1.20,,site qa,fit off,building a,level 1,apartment 1.20
,,Level 1 - Apartment 1.21,,site qa,fit off,apartment 1.21,building a,level 1
,,Level 1 - DDA Bathroom,,dda bathroom,site qa,fit off,building a,level 1
,,Level 2 - Apartment 2.01,,site qa,fit off,building a,apartment 2.01,level 2
,,Level 2 - Apartment 2.02,,apartment 2.02,site qa,fit off,building a,level 2
,,Level 2 - Apartment 2.03,,site qa,fit off,apartment 2.03,building a,level 2
,,Level 2 - Apartment 2.04,,apartment 2.04,site qa,fit off,building a,level 2
,,Level 2 - Apartment 2.05,,apartment 2.05,site qa,fit off,building a,level 2
,,Level 2 - Apartment 2.06,,site qa,fit off,building a,level 2,apartment 2.06
,,Level 2 - Apartment 2.07,,site qa,fit off,building a,level 2,apartment 2.07
,,Level 2 - Apartment 2.08,,site qa,fit off,apartment 2.08,building a,level 2
,,Level 2 - Apartment 2.09,,site qa,fit off,building a,apartment 2.09,level 2
,,Level 2 - Apartment 2.10,,site qa,fit off,building a,level 2,apartment 2.10
,,Level 2 - Apartment 2.11,,site qa,fit off,apartment 2.11,building a,level 2
,,Level 2 - Apartment 2.12,,site qa,fit off,building a,apartment 2.12,level 2
,,Level 2 - Apartment 2.13,,apartment 2.13,site qa,fit off,building a,level 2
,,Level 2 - Apartment 2.14,,site qa,fit off,apartment 2.14,building a,level 2
,,Level 2 - Apartment 2.15,,apartment 2.15,site qa,fit off,building a,level 2
,,Level 2 - Apartment 2.16,,apartment 2.16,site qa,fit off,building a,level 2
,,Level 2 - Apartment 2.17,,site qa,fit off,building a,level 2,apartment 2.17
,,Level 2 - DDA Bathroom,,dda bathroom,site qa,fit off,building a,level 2
,,Level 3 - Apartment 3.01,,site qa,fit off,building a,apartment 3.01,level 3
,,Level 3 - Apartment 3.02,,site qa,fit off,apartment 3.02,building a,level 3
,,Level 3 - Apartment 3.03,,site qa,fit off,apartment 3.03,building a,level 3
,,Level 3 - Apartment 3.04,,apartment 3.04,site qa,fit off,building a,level 3
,,Level 3 - Apartment 3.05,,apartment 3.05,site qa,fit off,building a,level 3
,,Level 3 - Apartment 3.06,,apartment 3.06,site qa,fit off,building a,level 3
,,Level 3 - Apartment 3.07,,site qa,fit off,building a,level 3,apartment 3.07
,,Level 3 - Apartment 3.08,,site qa,fit off,building a,apartment 3.08,level 3
,,Level 3 - Apartment 3.09,,site qa,fit off,building a,apartment 3.09,level 3
,,Level 3 - Apartment 3.10,,site qa,fit off,building a,level 3,apartment 3.10
,,Level 3 - Apartment 3.11,,site qa,fit off,building a,apartment 3.11,level 3
,,Level 3 - Apartment 3.12,,site qa,fit off,building a,apartment 3.12,level 3
,,Level 3 - Apartment 3.13,,site qa,fit off,apartment 3.13,building a,level 3
,,Level 3 - Apartment 3.14,,site qa,fit off,apartment 3.14,building a,level 3
,,Level 3 - Apartment 3.15,,apartment 3.15,site qa,fit off,building a,level 3
,,Level 3 - DDA Bathroom,,dda bathroom,site qa,fit off,building a,level 3
,,Building B - Fit Off,grouping,building b - fit off,,,,
,,Ground - Apartment G.01,,apartment g.01,ground,site qa,fit off,building b
,,Ground - Apartment G.02,,apartment g.02,ground,site qa,fit off,building b
,,Ground - Apartment G.03,,ground,site qa,fit off,building b,apartment g.03
,,Ground - Apartment G.04,,ground,site qa,fit off,building b,apartment g.04
,,Ground - Apartment G.05,,ground,site qa,fit off,apartment g.05,building b
,,Ground - Apartment G.06,,ground,site qa,fit off,apartment g.06,building b
,,Ground - Apartment G.07,,ground,apartment g.07,site qa,fit off,building b
,,Ground - Apartment G.08,,ground,site qa,fit off,apartment g.08,building b
,,Ground - Apartment G.09,,apartment g.09,ground,site qa,fit off,building b
,,Ground - Apartment G.10,,ground,apartment g.10,site qa,fit off,building b
,,Ground - Apartment G.11,,ground,site qa,fit off,apartment g.11,building b
,,Ground - Apartment G.12,,apartment g.12,ground,site qa,fit off,building b
,,Ground - Apartment G.13,,apartment g.13,ground,site qa,fit off,building b
,,Ground - Apartment G.14,,ground,site qa,fit off,building b,apartment g.14
,,Ground - Apartment G.15,,ground,site qa,fit off,building b,apartment g.15
,,Ground - Apartment G.16,,ground,site qa,fit off,apartment g.16,building b
,,Ground - Apartment G.17,,ground,site qa,fit off,apartment g.17,building b
,,Ground - Apartment G.18,,ground,apartment g.18,site qa,fit off,building b
,,Ground - Apartment G.19,,ground,site qa,fit off,apartment g.19,building b
,,Ground - DDA Bathroom,,dda bathroom,ground,site qa,fit off,building b
,,Level 1 - Apartment 1.01,,apartment 1.01,site qa,fit off,level 1,building b
,,Level 1 - Apartment 1.02,,site qa,fit off,apartment 1.02,level 1,building b
