"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4ede2005-600b-43ac-904a-21f824b70bbb","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"4bc3236d-c079-4cbd-939c-5bdc40a17532","","not-started","","folder","TRUE","FALSE","Project QA"
"f31951fa-7148-445d-b824-092eeae5f3ed","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - W1A Living Clerestory (APL Metro TH+ Centrafix)"
"5ccf305a-9971-4f3c-8c58-a58b9bf8e136","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - W1A Living Clerestory (APL Metro TH+ Centrafix)","Glazing & Pre-Delivery"
"3cd4d9c7-6fa5-4056-8569-748189366fca","","not-started","177cdb9efa781da9a4aebaeef1af421e947405046a3ecbb1c51cf71f16bda043","checklist","FALSE","FALSE","Project QA","Item 1 - W1A Living Clerestory (APL Metro TH+ Centrafix)","CENTRAFIX Assembly Checklist"
"e4fd893c-4438-458e-8453-62117278d04d","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - W1B Living Clerestory (APL Metro TH+ Centrafix)"
"7d97d9ce-621e-4e4c-9d7e-eb7abf9e92e9","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - W1B Living Clerestory (APL Metro TH+ Centrafix)","Glazing & Pre-Delivery"
"e88bc28b-be2a-4cfe-8324-18b67ed6d38c","","not-started","177cdb9efa781da9a4aebaeef1af421e947405046a3ecbb1c51cf71f16bda043","checklist","FALSE","FALSE","Project QA","Item 2 - W1B Living Clerestory (APL Metro TH+ Centrafix)","CENTRAFIX Assembly Checklist"
"dd73054a-3941-42be-adfc-b7b38dd0bc30","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - W1C Living Clerestory (APL Metro TH+ Centrafix)"
"61e79eb6-4a44-49ac-873e-14e82db146ae","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - W1C Living Clerestory (APL Metro TH+ Centrafix)","Glazing & Pre-Delivery"
"8163eee2-c485-42ca-b306-0b4e10a93caf","","not-started","177cdb9efa781da9a4aebaeef1af421e947405046a3ecbb1c51cf71f16bda043","checklist","FALSE","FALSE","Project QA","Item 3 - W1C Living Clerestory (APL Metro TH+ Centrafix)","CENTRAFIX Assembly Checklist"
"ce467cb2-e5fa-4e89-a750-ed545a1556f4","","not-started","","folder","TRUE","FALSE","Project QA","Item 4 - W1D Living Clerestory (APL Metro TH+ Centrafix)"
"de6ffd8d-164a-4d1f-bdd1-b019757bf4f5","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - W1D Living Clerestory (APL Metro TH+ Centrafix)","Glazing & Pre-Delivery"
