"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Room Tracking"
,"Scope",,
,"Rows"
,,"Basement","dynamic","basement"
,,"Ground","dynamic","ground"
,,"Level 1","dynamic","level 1"
,,"Level 2","dynamic","level 2"
,,"Level 3","dynamic","level 3"
,,"Level 4","dynamic","level 4"
,,"Level 5","dynamic","level 5"
,"Columns"
,,"FF - AQUAHEAT - Pipework",,"room release","aquaheat - pipework","first fix"
,,"AQUAHEAT - Ductwork",,"room release","first fix","aquaheat - ductwork"
,,"AQUAHEAT - Electrical For Mechanical",,"room release","first fix","aquaheat - electrical for mechanical"
,,"AQUAHEAT - Medical Gas",,"aquaheat - medical gas","room release","first fix"
,,"AQUAHEAT - VRF",,"aquaheat - vrf","room release","first fix"
,,"AQUAHEAT - Diesel",,"room release","first fix","aquaheat - diesel"
,,"AXIS - Modframe",,"axis - modframe","room release","first fix"
,,"CLE - Containment",,"room release","cle - containment","first fix"
,,"CLE - Power & lighting",,"room release","cle - power & lighting","first fix"
,,"CLE - Switchboards",,"room release","cle - switchboards","first fix"
,,"CLE - HV",,"room release","first fix","cle - hv"
,,"DL GOOD",,"dl good","room release","first fix"
,,"TRIANGLE FIRE - Sprinklers",,"room release","triangle fire - sprinklers","first fix"
,,"TRIANGLE FIRE - Alarms",,"triangle fire - alarms","room release","first fix"
,,"SACO",,"room release","first fix","saco"
,,"AOTEA",,"aotea","room release","first fix"
,,"FILTEC",,"filtec","room release","first fix"
,,"2F - AQUAHEAT - Pipework",,"second fix","room release","aquaheat - pipework"
,,"AQUAHEAT - Ductwork",,"second fix","room release","aquaheat - ductwork"
,,"AQUAHEAT - Electrical For Mechanical",,"second fix","room release","aquaheat - electrical for mechanical"
,,"AQUAHEAT - Medical Gas",,"aquaheat - medical gas","second fix","room release"
,,"AQUAHEAT - VRF",,"aquaheat - vrf","second fix","room release"
,,"AQUAHEAT - Diesel",,"second fix","room release","aquaheat - diesel"
,,"CLE - Power & lighting",,"second fix","room release","cle - power & lighting"
,,"CLE - Switchboards",,"second fix","room release","cle - switchboards"
,,"CLE - HV",,"second fix","room release","cle - hv"
,,"DL GOOD",,"dl good","second fix","room release"
,,"TRIANGLE FIRE - Sprinklers",,"second fix","room release","triangle fire - sprinklers"
,,"TRIANGLE FIRE - Alarms",,"triangle fire - alarms","second fix","room release"
,,"SACO",,"second fix","room release","saco"
,,"AOTEA",,"second fix","aotea","room release"
,,"FILTEC",,"second fix","filtec","room release"
,,"GLOBAL FIRE",,"second fix","room release","global fire"
,,"CONTRACT COATINGS",,"second fix","room release","contract coatings"
,,"GLOBAL FIRE",,"second fix","room release","global fire"
,,"CONTRACT COATINGS",,"second fix","room release","contract coatings"

