Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,389141cc-ef93-4f7d-b6a9-2045fb5e7e65,,checklist,QA - 2 Edge Support Shop Front Glazing,,,,0,Yes,QA - 2 Edge Support Shop Front Glazing,e4ddd32a-12f7-4cf3-b6b5-65adee1be647
checkpoint-status,b248d4bc-2b1c-47fe-b1d2-ae9a3d63c334,,checkpoint,Hardware installed as per PS1,,,,,,,
label,6fdf7927-143e-5875-84bf-3694806af2c7,,note,"Check threaded rod, nuts & washers",,,,,,,
label,1ea2eb31-341d-5598-8b97-aac3045ab5b8,,note,Check for damage,,,,,,,
checkpoint-status,dad45cd5-f8d1-4183-aa29-e7d583a971da,,checkpoint,Structural Glazed Frames installed as per PS1,,,,,,,
label,79da7bbd-8eb8-5bf3-b0c3-3dec680abeaa,,note,Bolted into structure,,,,,,,
label,0b4848a2-ce1c-57c3-bb3b-49b52c4ad854,,note,Lined up,,,,,,,
checkpoint-status,a726e060-d94b-4695-a1ad-3c15c94d99ea,,checkpoint,Silicone to vertical gaps behind frames & downpipe,,,,,,,
label,2d68a0a1-90a1-5b7f-9bcc-ee21952511b9,,note,Silicone to vertical gaps behind frames & downpipe,,,,,,,
label,b490409b-65be-5699-8b16-9eb0efade65c,,note,Silicone to horizontal gaps between glass,,,,,,,
checkpoint-status,91fd825f-e9fa-47bd-9c83-3c7233df72a8,,checkpoint,Silicone to horizontal gaps between glass,,,,,,,
checkpoint-status,078e4fe8-23be-4da9-be4f-752a42b1e66c,,checkpoint,Trade clean,,,,,,,
label,cd16dc62-c0ff-5ffd-98c9-8ea7c1a4ef6d,,note,Clean Glass,,,,,,,
label,846dbf99-a525-5f74-abfb-f1c03a7cb2f0,,note,Check no bump-on's,,,,,,,
label,657b46ba-6f04-5b31-a85b-e2ba23cbcc46,,note,Check no stickers,,,,,,,
