"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2e640eb4-9a04-49cb-b8c1-1fdaac55ace8","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"b924a306-93f1-447e-8a59-a8dd8ac8aeee","","not-started","Lift Pits Waterproofing","checklist","FALSE","FALSE","Site QA","Lift Pits"
"282fa41d-aa01-4724-ac41-a07feb7415a3","","not-started","","folder","TRUE","FALSE","Site QA","Basement"
"13aaa892-56f3-4915-9371-1d4be6717ea2","","not-started","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Basement","Internal Wet Areas"
"5a50d170-54f2-45c9-9984-4b4371f6047c","","not-started","Waste/Bin Rooms","checklist","FALSE","FALSE","Site QA","Basement","Service Rooms"
"1047650c-15a9-44a6-a7ab-656350855b57","","not-started","Fire Sprinkler Tanks Waterproofing","checklist","FALSE","FALSE","Site QA","Basement","Fire Sprinkler Tanks"
"be5c8ea3-e75f-4a1b-a64b-5e3ede4ebc6a","","not-started","","folder","TRUE","FALSE","Site QA","Ground Floor"
"91346f71-672b-4b7b-9084-6dce78833947","","not-started","Roof, Terraces & Walkways Waterproofing","checklist","FALSE","FALSE","Site QA","Ground Floor","External Common Areas"
"62c65107-9583-4080-978b-f02cf0e3de33","","not-started","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Ground Floor","Internal Wet Areas"
"ed86d758-7e5f-4dab-93c1-c778e810954f","","not-started","Planter Box Waterproofing","checklist","FALSE","FALSE","Site QA","Ground Floor","Planter Boxes"
"7a66cf47-d595-4e82-a2da-ea5be6a18331","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1"
"2b139688-38ab-4b9d-a051-099caa7ba5e2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","101"
"a66d2c74-6c08-4cc2-9fa8-c08850488cd1","","pass","Hobs","checklist","FALSE","FALSE","Site QA","Level 1","101","Hobs"
"b3e5855f-1b8a-4d5b-966b-cd772315f21a","","pass","Internal Wet Areas","checklist","FALSE","FALSE","Site QA","Level 1","101","Internal Wet Areas"
"21a7f327-5a80-4fe9-8c7e-78c8ed681dfe","","pass","Balcony Waterproofing (+Apply Polyguard)","checklist","FALSE","FALSE","Site QA","Level 1","101","Balcony"
"498e0401-4fa5-4a46-9c8d-72b84613aa79","","not-started","Planter Box Waterproofing","checklist","FALSE","FALSE","Site QA","Level 1","101","Planter Boxes"
"9fe3f495-0412-4aa0-b572-d1fe1f91304e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 1","102"
