"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ce9c4cc5-16f1-46fb-9b35-570b1176f4be","","checklist-flat","work-in-progress","Job Details","checklist-flat","FALSE","FALSE","Job Details"
"76357d2d-19ce-4c70-a83c-f3d5e37f2c9f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacture QA"
"ef3f8fee-e6f0-4a5e-b52b-31b88e7d2324","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Ground Level"
"37810c90-1c7a-4321-9ce6-c7354b4f84ea","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Ground Level","Panel"
"5d11db97-61a8-460e-927d-3ce63ab09059","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-01"
"d89671d9-4349-41f9-9f86-53706775c041","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-02"
"73184073-93bb-49bc-8a9c-4710d4108909","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-03"
"1767abe7-ddad-428c-929b-9a73986518f4","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-04"
"20ed56bc-ab24-4244-be81-b7a571579686","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-05"
"e7e61448-d350-42c4-9d7f-9bcc3961b6b9","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-06"
"67934bb9-018f-4122-9798-768671a679d4","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-07"
"64e4be01-7864-459d-95ea-15e690d49b06","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-08"
"de38cc2b-04c5-49c9-940d-29b38d73fab1","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-09"
"4c2fd969-65a8-4147-8a8b-287a11ed66be","","checklist-sectioned","pass","22cb2436392c7bddc847a9c119dd9aac1ab74928abf6ea91d7e17af453fda598","checklist","FALSE","FALSE","Manufacture QA","Ground Level","Panel","GL-10"
