resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,step,,,RL (Retired Living),,,,,,,,
"BAL04 GLASS, BALUSTRADE","AM02 ALUM, VERTICAL SCREENS",,,,,folder-with-checklists,,,,Level 5,,,,,,,
"BAL01B GLASS, BALUSTRADE","BAL01A ALUM, ALUMINIUM HANDRAIL","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,folder-with-checklists,,,,Level 6,,,,,,,
"BAL01B GLASS, BALUSTRADE","BAL01A ALUM, ALUMINIUM HANDRAIL","BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",folder-with-checklists,,,,Level 7,,,,,,,
"BAL01B GLASS, BALUSTRADE","BAL01A ALUM, ALUMINIUM HANDRAIL","BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",folder-with-checklists,,,,Level 8,,,,,,,
"BAL01B GLASS, BALUSTRADE","BAL01A ALUM, ALUMINIUM HANDRAIL","BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",folder-with-checklists,,,,Level 9,,,,,,,
"BAL01B GLASS, BALUSTRADE","BAL01A ALUM, ALUMINIUM HANDRAIL","BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",folder-with-checklists,,,,Level 10,,,,,,,
"BAL01B GLASS, BALUSTRADE","BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,folder-with-checklists,,,,Level 11,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 12,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 13,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 14,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 15,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 16,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 17,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 18,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 19,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 20,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 21,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 22,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 23,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 24,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 25,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 26,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 27,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Level 28,,,,,,,
"BAL03A ALUM, ALUMINIUM BALUSTRADE","BAL02 GLASS, BALUSTRADE",AM01A ALUM. VERTICAL SCREENS,"AM02 ALUM, VERTICAL SCREENS",,,folder-with-checklists,,,,Roof,,,,,,,
