Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Ground Floor,grouping,ground floor,,
,,SME-00-01,grouping,sme-00-01,,
,,VAV-5.22,,sme-00-01,vav-5.22,
,,ERV-1,,sme-00-01,erv-1,
,,FCU-1,,fcu-1,sme-00-01,
,,FCU-5,,fcu-5,sme-00-01,
,,F-1,,sme-00-01,f-1,
,,F-6,,sme-00-01,f-6,
,,F-8,,f-8,sme-00-03,
,,F-9,,sme-00-03,f-9,
,,SME-00-02,grouping,sme-00-02,,
,,VAV-1.2,,sme-00-02,vav-1.2,
,,VAV-1.3,,sme-00-02,vav-1.3,
,,VAV-1.4,,vav-1.4,sme-00-02,
,,VAV-5.7,,sme-00-02,vav-5.7,
,,VAV-5.8,,vav-5.8,sme-00-02,
,,FCU-6,,sme-00-02,fcu-6,
,,SME-00-03,grouping,sme-00-03,,
,,VAV-4.10,,vav-4.10,sme-00-03,
,,VAV-4.11,,vav-4.11,sme-00-03,
,,VAV-4.21,,vav-4.21,sme-00-03,
,,VAV-5.23,,vav-5.23,sme-00-03,
,,VAV-5.24,,vav-5.24,sme-00-03,
,,FCU-3,,fcu-3,sme-00-03,
,,FCU-4,,sme-00-03,fcu-4,
,,SME-00-04,grouping,sme-00-04,,
,,VAV-5.9,,sme-00-04,vav-5.9,
,,VAV-5.10,,sme-00-04,vav-5.10,
,,VAV-5.11,,vav-5.11,sme-00-04,
,,VAV-5.17,,vav-5.17,sme-00-04,
,,VAV-5.20,,vav-5.20,sme-00-04,
,,AC-1,,sme-00-04,ac-1,
,,AC-2,,ac-2,sme-00-04,
,,FCU-2,,fcu-2,sme-00-04,
,,FCU-8,,sme-00-04,fcu-8,
,,FD-001-01,,fd-001-01,sme-00-04,
,,SME-00-24,grouping,sme-00-24,,
,,Refrigeration Pipe,,sme-00-24,refrigeration pipe,
,,Penetrations,grouping,penetrations,,
,,Ground floor Pipework,grouping,ground floor pipework,,
,,SME-00-21,,,,
,,SME-00-22,,,,
,,SME-00-23,,,,
,,SME-00-24,,,,
,,Mezz-Plant Room (Low Level),grouping,mezz-plant room (low level),,
,,SME-MZ-01,grouping,sme-mz-01,,
,,VAV-1.1,,sme-mz-01,vav-1.1,
,,VAV-2.1,,sme-mz-01,vav-2.1,
,,VAV-2.3,,vav-2.3,sme-mz-01,
,,VAV-3.1,,vav-3.1,sme-mz-01,
,,VAV-3.4,,sme-mz-01,vav-3.4,
,,VAV-4.1,,vav-4.1,sme-mz-01,
,,VAV-4.2,,sme-mz-01,vav-4.2,
,,VAV-4.3,,sme-mz-01,vav-4.3,
,,VAV-4.7,,sme-mz-01,vav-4.7,
,,VAV-4.17,,sme-mz-01,vav-4.17,
,,SME-MZ-02,grouping,sme-mz-02,,
,,VAV-5.1,,sme-mz-02,vav-5.1,
,,VAV-5.2,,sme-mz-02,vav-5.2,
,,VAV-5.4,,vav-5.4,sme-mz-02,
,,VAV-5.5,,sme-mz-02,vav-5.5,
,,VAV-5.19,,sme-mz-02,vav-5.19,
,,VAV-5.21,,sme-mz-02,vav-5.21,
,,VAV-6.2,,sme-mz-02,vav-6.2,
,,VAV-6.3,,vav-6.3,sme-mz-02,
,,F-4,,f-4,sme-mz-02,
,,SME-MZ-03,grouping,sme-mz-03,,
,,VAV-2.2,,sme-mz-03,vav-2.2,
,,VAV-3.5,,sme-mz-03,vav-3.5,
,,VAV-3.6,,sme-mz-03,vav-3.6,
,,VAV-3.7,,sme-mz-03,vav-3.7,
,,VAV-4.4,,sme-mz-03,vav-4.4,
,,VAV-4.5,,sme-mz-03,vav-4.5,
,,VAV-4.13,,sme-mz-03,vav-4.13,
