resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,,,,,step,,,Amenities,,,,,,,,
,,,,,,,,,,,,step,,,,Ground,,,,,,,
Amenities - Main Run Rough In (Cold Water),Amenities - Main Run Rough In (Hot Water),Amenities - Main Run Rough In (Non Potable/Rainwater),Amenities - Main Run Rough In (Gas),Amenities - Rough In - CW Design Components,Amenities - Rough In - RW Design Components,Amenities - Rough In - Mains Water Meter Assembly,Amenities - Rough In - Meter Install (Fitout),Amenities - Rough In - Meter Manifold Install,Amenities - Rough In: Commercial (High & Low Level Rough In) Water Services ,Amenities - Rough In: Apartment Water Services (High & Low Level Rough In),Amenities - Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
Amenities - Main Run Rough In (Cold Water),Amenities - Main Run Rough In (Hot Water),Amenities - Main Run Rough In (Non Potable/Rainwater),Amenities - Main Run Rough In (Gas),Amenities - Rough In - CW Design Components,Amenities - Rough In - RW Design Components,Amenities - Rough In - Mains Water Meter Assembly,Amenities - Rough In - Meter Install (Fitout),Amenities - Rough In - Meter Manifold Install,Amenities - Rough In: Commercial (High & Low Level Rough In) Water Services ,Amenities - Rough In: Apartment Water Services (High & Low Level Rough In),Amenities - Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
Amenities - Main Run Rough In (Cold Water),Amenities - Main Run Rough In (Hot Water),Amenities - Main Run Rough In (Non Potable/Rainwater),Amenities - Main Run Rough In (Gas),Amenities - Rough In - CW Design Components,Amenities - Rough In - RW Design Components,Amenities - Rough In - Mains Water Meter Assembly,Amenities - Rough In - Meter Install (Fitout),Amenities - Rough In - Meter Manifold Install,Amenities - Rough In: Commercial (High & Low Level Rough In) Water Services ,Amenities - Rough In: Apartment Water Services (High & Low Level Rough In),Amenities - Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
Amenities - Main Run Rough In (Cold Water),Amenities - Main Run Rough In (Hot Water),Amenities - Main Run Rough In (Non Potable/Rainwater),Amenities - Main Run Rough In (Gas),Amenities - Rough In - CW Design Components,Amenities - Rough In - RW Design Components,Amenities - Rough In - Mains Water Meter Assembly,Amenities - Rough In - Meter Install (Fitout),Amenities - Rough In - Meter Manifold Install,Amenities - Rough In: Commercial (High & Low Level Rough In) Water Services ,Amenities - Rough In: Apartment Water Services (High & Low Level Rough In),Amenities - Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,,,,,step,,,,Level 1,,,,,,,
Amenities - Main Run Rough In (Cold Water),Amenities - Main Run Rough In (Hot Water),Amenities - Main Run Rough In (Non Potable/Rainwater),Amenities - Main Run Rough In (Gas),Amenities - Rough In - CW Design Components,Amenities - Rough In - RW Design Components,Amenities - Rough In - Mains Water Meter Assembly,Amenities - Rough In - Meter Install (Fitout),Amenities - Rough In - Meter Manifold Install,Amenities - Rough In: Commercial (High & Low Level Rough In) Water Services ,Amenities - Rough In: Apartment Water Services (High & Low Level Rough In),Amenities - Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
Amenities - Main Run Rough In (Cold Water),Amenities - Main Run Rough In (Hot Water),Amenities - Main Run Rough In (Non Potable/Rainwater),Amenities - Main Run Rough In (Gas),Amenities - Rough In - CW Design Components,Amenities - Rough In - RW Design Components,Amenities - Rough In - Mains Water Meter Assembly,Amenities - Rough In - Meter Install (Fitout),Amenities - Rough In - Meter Manifold Install,Amenities - Rough In: Commercial (High & Low Level Rough In) Water Services ,Amenities - Rough In: Apartment Water Services (High & Low Level Rough In),Amenities - Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
Amenities - Main Run Rough In (Cold Water),Amenities - Main Run Rough In (Hot Water),Amenities - Main Run Rough In (Non Potable/Rainwater),Amenities - Main Run Rough In (Gas),Amenities - Rough In - CW Design Components,Amenities - Rough In - RW Design Components,Amenities - Rough In - Mains Water Meter Assembly,Amenities - Rough In - Meter Install (Fitout),Amenities - Rough In - Meter Manifold Install,Amenities - Rough In: Commercial (High & Low Level Rough In) Water Services ,Amenities - Rough In: Apartment Water Services (High & Low Level Rough In),Amenities - Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
