resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,step,,,Amenities,,,,,,,,
,,,,,,,step,,,,Ground,,,,,,,
Amenities - Fit Off/ Fixture Install - Toilets & Cisterns,Amenities - Fit Off/ Fixture Install - All Items,Amenities - Fit Off/ Fixture Install - Waste & Trap Clean Out,Amenities - Fit Off/ Fixture Install - Wall Tundish,Amenities - Fit Off/ Fixture Install - Hose Taps,Amenities - Fit Off/ Fixture Install - Gas Cooktop,Amenities - Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Male,,,,,,
Amenities - Fit Off/ Fixture Install - Toilets & Cisterns,Amenities - Fit Off/ Fixture Install - All Items,Amenities - Fit Off/ Fixture Install - Waste & Trap Clean Out,Amenities - Fit Off/ Fixture Install - Wall Tundish,Amenities - Fit Off/ Fixture Install - Hose Taps,Amenities - Fit Off/ Fixture Install - Gas Cooktop,Amenities - Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Female,,,,,,
Amenities - Fit Off/ Fixture Install - Toilets & Cisterns,Amenities - Fit Off/ Fixture Install - All Items,Amenities - Fit Off/ Fixture Install - Waste & Trap Clean Out,Amenities - Fit Off/ Fixture Install - Wall Tundish,Amenities - Fit Off/ Fixture Install - Hose Taps,Amenities - Fit Off/ Fixture Install - Gas Cooktop,Amenities - Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,DDA,,,,,,
Amenities - Fit Off/ Fixture Install - Toilets & Cisterns,Amenities - Fit Off/ Fixture Install - All Items,Amenities - Fit Off/ Fixture Install - Waste & Trap Clean Out,Amenities - Fit Off/ Fixture Install - Wall Tundish,Amenities - Fit Off/ Fixture Install - Hose Taps,Amenities - Fit Off/ Fixture Install - Gas Cooktop,Amenities - Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,step,,,,Level 1,,,,,,,
Amenities - Fit Off/ Fixture Install - Toilets & Cisterns,Amenities - Fit Off/ Fixture Install - All Items,Amenities - Fit Off/ Fixture Install - Waste & Trap Clean Out,Amenities - Fit Off/ Fixture Install - Wall Tundish,Amenities - Fit Off/ Fixture Install - Hose Taps,Amenities - Fit Off/ Fixture Install - Gas Cooktop,Amenities - Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Male,,,,,,
Amenities - Fit Off/ Fixture Install - Toilets & Cisterns,Amenities - Fit Off/ Fixture Install - All Items,Amenities - Fit Off/ Fixture Install - Waste & Trap Clean Out,Amenities - Fit Off/ Fixture Install - Wall Tundish,Amenities - Fit Off/ Fixture Install - Hose Taps,Amenities - Fit Off/ Fixture Install - Gas Cooktop,Amenities - Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Female,,,,,,
Amenities - Fit Off/ Fixture Install - Toilets & Cisterns,Amenities - Fit Off/ Fixture Install - All Items,Amenities - Fit Off/ Fixture Install - Waste & Trap Clean Out,Amenities - Fit Off/ Fixture Install - Wall Tundish,Amenities - Fit Off/ Fixture Install - Hose Taps,Amenities - Fit Off/ Fixture Install - Gas Cooktop,Amenities - Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,DDA,,,,,,
