"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"69b60dc2-d086-4605-911e-78d3c695edc8","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"d8a9b6c2-3320-4b9f-9db2-d5d2b4e229a8","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"43ef32f0-85f6-4ba8-8ab7-5272c24ebb57","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 1 - WG-02 Entry (APL Residential TH+)"
"e7190e4e-f656-488d-b846-56bdb37809c0","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - WG-02 Entry (APL Residential TH+)","Assembly"
"347a2763-15ee-49f4-a561-d8c9c060a32a","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - WG-02 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
