"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"104270ff-382c-41b6-b0f9-40e0893d83e2","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"42415f72-8846-4be9-9c72-caad955ac358","","not-started","","folder","TRUE","FALSE","Project QA"
"8fefb13a-b493-4cd4-b14a-0a25aa6a3744","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - Bi-Pass Option (APL Architectural Series)"
"c568fa6a-f975-49b0-a959-2d8692fbcdd2","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Bi-Pass Option (APL Architectural Series)","Assembly"
"5a7e33a3-9529-4630-8a97-d297c6e02aaa","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Bi-Pass Option (APL Architectural Series)","Glazing & Pre-Delivery"
