"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"24c11fea-2de7-4794-9f5c-ba2b8ecc67d5","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"9e32fd06-3957-456c-81f6-51c850256196","","not-started","","folder","TRUE","FALSE","Project QA"
"4ff30879-8404-4188-bd20-8de6e2c1233e","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - EX1.01 Bedroom (APL Architectural Series)"
"898b99ee-d7bf-4a4f-b8b8-25b4c21d3d04","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - EX1.01 Bedroom (APL Architectural Series)","Assembly"
"bb5833bb-994e-4348-9604-d74276e53125","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - EX1.01 Bedroom (APL Architectural Series)","Glazing & Pre-Delivery"
"5d9ad911-fb42-450d-a315-72d7ca22cb55","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - EX1.02 &1.03 (APL Architectural TH+)"
"45d8351a-dea4-4147-9736-99b127ab8bde","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - EX1.02 &1.03 (APL Architectural TH+)","Assembly"
"153ddb76-36fb-4639-9b1a-c19db21a2a82","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - EX1.02 &1.03 (APL Architectural TH+)","Glazing & Pre-Delivery"
"5bcf63bc-853e-4e13-bd0a-f1dafa10996b","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - EX1.04 Laundry (APL Metro TH+)"
"28d4059d-8baa-4dbb-9dec-483daaca45b9","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - EX1.04 Laundry (APL Metro TH+)","Assembly"
"99a36e7a-eb52-4b31-b380-cb83c5932007","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - EX1.04 Laundry (APL Metro TH+)","Glazing & Pre-Delivery"
"a5a0df20-0694-478e-9243-dbe727f7d5de","","not-started","","folder","TRUE","FALSE","Project QA","Item 4 - EX1.05 Bathroom (APL Metro TH+)"
"b5b2883a-c18d-49a0-b2a5-c1d8a8a43c03","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - EX1.05 Bathroom (APL Metro TH+)","Assembly"
"c0c59abb-e840-4619-b4b9-34d2cedd97e3","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - EX1.05 Bathroom (APL Metro TH+)","Glazing & Pre-Delivery"
"9f4e5045-104c-4836-a3b8-097801063ed5","","not-started","","folder","TRUE","FALSE","Project QA","Item 5 - EX1.06 Games Room (APL Metro Series)"
"9e12fa7a-8821-4b1a-88a2-563645ffcf2d","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - EX1.06 Games Room (APL Metro Series)","Assembly"
"ebe68c23-b333-4f99-85c7-7b64d782129a","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - EX1.06 Games Room (APL Metro Series)","Glazing & Pre-Delivery"
"86681014-b2e0-4b01-99a9-7f6b2cc02f21","","not-started","","folder","TRUE","FALSE","Project QA","Item 6 - EX1.07 Games Room (APL Arch TH+)"
"b2a337e1-df58-4d8b-9c08-27828013e03a","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - EX1.07 Games Room (APL Arch TH+)","Assembly"
"5d4d39f0-302b-4448-89e9-3abc41d04a13","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - EX1.07 Games Room (APL Arch TH+)","Glazing & Pre-Delivery"
"9f584460-c760-4163-bb2e-f520eb74f19d","","not-started","","folder","TRUE","FALSE","Project QA","Item 7 - EX1.10 Games Room (APL Metro TH+)"
"1e040c61-af79-4eb2-9948-90dee1dc13d8","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - EX1.10 Games Room (APL Metro TH+)","Assembly"
"5889678f-bff1-480e-ab85-45e90763ad49","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - EX1.10 Games Room (APL Metro TH+)","Glazing & Pre-Delivery"
"57842064-bc0e-4dd8-8fdd-fa2c74408891","","not-started","","folder","TRUE","FALSE","Project QA","Item 8 - EX2.01 (APL Metro TH+)"
"92c2ca4b-48d6-41fc-a8a2-431a112780de","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - EX2.01 (APL Metro TH+)","Assembly"
"0843d413-a535-46fb-9ecf-4e3167438f29","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - EX2.01 (APL Metro TH+)","Glazing & Pre-Delivery"
"5005b1a2-4797-4534-b956-dcec761c387b","","not-started","","folder","TRUE","FALSE","Project QA","Item 9 - EX2.02 (APL Metro TH+)"
"8ec43eeb-7374-4a6a-919c-ffaeafac407f","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - EX2.02 (APL Metro TH+)","Assembly"
"82b85c45-7941-4b3e-8906-3a7f2530f5bd","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - EX2.02 (APL Metro TH+)","Glazing & Pre-Delivery"
"0323e790-10ee-45c5-a05d-0e7fa8bde894","","not-started","","folder","TRUE","FALSE","Project QA","Item 10 - EX2.03 (APL Metro TH+)"
"363ca02b-4bfe-4062-9510-abef8a2b50bf","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - EX2.03 (APL Metro TH+)","Assembly"
"a8a8ec83-625b-4b2b-9620-4326dc6b6136","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - EX2.03 (APL Metro TH+)","Glazing & Pre-Delivery"
"dc6f0e20-08b6-4c05-a376-bb15fa5b3a80","","not-started","","folder","TRUE","FALSE","Project QA","Item 11 - EX2.04 (APL Metro TH+)"
"4adf2848-8c2c-45d6-a784-9b0508fb542c","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - EX2.04 (APL Metro TH+)","Assembly"
"0b92a1e1-6be5-4486-b57c-902b6f3feb70","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - EX2.04 (APL Metro TH+)","Glazing & Pre-Delivery"
"d0eb1f39-5f32-4480-bc67-bb42fa508e0c","","not-started","","folder","TRUE","FALSE","Project QA","Item 12 - EX2.05 (APL Metro TH+)"
"63d29f5d-8fa9-4442-900c-5aec3baec8bc","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - EX2.05 (APL Metro TH+)","Assembly"
"66628271-de98-4e1e-b188-fc5dd20bf3a0","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - EX2.05 (APL Metro TH+)","Glazing & Pre-Delivery"
"7c6a53c3-1c14-4ce7-81bc-c4a292881555","","not-started","","folder","TRUE","FALSE","Project QA","Item 13 - EX2.06 (APL Metro TH+)"
"5aabdb97-e510-4faa-a897-1dbf90c045a1","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - EX2.06 (APL Metro TH+)","Assembly"
"76fb4e69-b5ea-4c22-806d-5db24e9445ae","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - EX2.06 (APL Metro TH+)","Glazing & Pre-Delivery"
"33c8fc1c-46fb-462d-b739-036b7fabe91a","","not-started","","folder","TRUE","FALSE","Project QA","Item 14 - EX2.07 (APL Metro TH+)"
"9e72d9ff-e2ad-45c4-9d1e-0376b75ec453","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - EX2.07 (APL Metro TH+)","Assembly"
"272d17d1-0c59-4afd-9528-077a48475e6a","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - EX2.07 (APL Metro TH+)","Glazing & Pre-Delivery"
"db3788cf-4b9b-4f8b-9e00-e7d9e3d052ee","","not-started","","folder","TRUE","FALSE","Project QA","Item 15 - EX2.08 (APL Metro TH+)"
"aeb7c81b-38a6-4bd4-acde-641475876187","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - EX2.08 (APL Metro TH+)","Assembly"
"914b2e9e-8a26-47ba-8419-080b474faef1","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - EX2.08 (APL Metro TH+)","Glazing & Pre-Delivery"
"c008d2c3-2036-4740-ad47-c319e461a432","","not-started","","folder","TRUE","FALSE","Project QA","Item 16 - EX2.09 (APL Metro TH+)"
"7dd6bfb0-0b63-4a7b-af57-33b3541e4ea6","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - EX2.09 (APL Metro TH+)","Assembly"
"f73c7e64-2946-4eb0-812a-e5485735e386","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - EX2.09 (APL Metro TH+)","Glazing & Pre-Delivery"
