"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eefeb71a-6827-4324-b087-62dc238fd83f","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"81d5ed30-655d-4da3-8c31-43927522e16f","","fail","","folder","TRUE","FALSE","Project QA"
"ad59e42e-9452-4629-9046-ae99bc5d3568","","pass","","folder","TRUE","FALSE","Project QA","D01 Entry (APL Metro Thermal Heart+)"
"95b42260-5ce8-42c5-abbe-54ed440eaee0","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","D01 Entry (APL Metro Thermal Heart+)","Assembly"
"2772fab2-19c4-44b6-8a4c-2d14ef401068","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","D01 Entry (APL Metro Thermal Heart+)","Glazing & Pre-Delivery"
"c82b2036-932c-4ae5-8239-25f8add9cbbb","","pass","","folder","TRUE","FALSE","Project QA","W0.01 Garage (APL Metro Thermal Heart+)"
"ca2d3573-7f86-4413-ad4a-1eb21e78fc8b","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W0.01 Garage (APL Metro Thermal Heart+)","Assembly"
"77111832-21fc-4fc1-98a4-8574eb3652e0","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W0.01 Garage (APL Metro Thermal Heart+)","Glazing & Pre-Delivery"
"8b06d15e-c597-4f22-bb52-11d7d448cca3","","fail","","folder","TRUE","FALSE","Project QA","D0.03 Studio (APL Metro Thermal Heart+)"
"d223e85e-d471-4a77-865e-c6b6de3bf7d1","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","D0.03 Studio (APL Metro Thermal Heart+)","Assembly"
"0f513818-5ace-4685-bc99-f3e4dc26a4c6","","fail","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","D0.03 Studio (APL Metro Thermal Heart+)","Glazing & Pre-Delivery"
"0dbe0973-a22a-4518-8828-35a5dd618a7f","","pass","","folder","TRUE","FALSE","Project QA","D0.04 Hall Entry (APL Metro Thermal Heart+)"
"480dddd1-45af-49d1-b2c6-d8ebb47aabfc","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","D0.04 Hall Entry (APL Metro Thermal Heart+)","Assembly"
"b9db5569-4b50-4ab5-a0d8-838f9886eaa3","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","D0.04 Hall Entry (APL Metro Thermal Heart+)","Glazing & Pre-Delivery"
"d24722cd-cffa-483c-91b8-f561c9e736b0","","pass","","folder","TRUE","FALSE","Project QA","W0.03 Laundry (Metro Thermal Heart+)"
"b1cea575-8690-49a7-b3e2-27ea6903e547","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W0.03 Laundry (Metro Thermal Heart+)","Assembly"
"51e17de5-618d-4a2b-907a-21b9c4b18de7","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W0.03 Laundry (Metro Thermal Heart+)","Glazing & Pre-Delivery"
"6d6e8aec-a7b2-498d-9339-c11b1c7ee9db","","pass","","folder","TRUE","FALSE","Project QA","W0.02 Pantry (APL Metro Thermal Heart+)"
"1a29878a-9e0e-426c-80f9-8e725e9737ca","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W0.02 Pantry (APL Metro Thermal Heart+)","Assembly"
"46e253e8-4b15-4495-8980-b65a9689993a","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W0.02 Pantry (APL Metro Thermal Heart+)","Glazing & Pre-Delivery"
"39b543df-a287-4982-a17b-494bd47368d8","","pass","","folder","TRUE","FALSE","Project QA","W1.01 Clearstory (APL Metro Thermal Heart+)"
"d3482e05-2667-4aef-93ec-8ee309f74679","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W1.01 Clearstory (APL Metro Thermal Heart+)","Assembly"
"92c7a658-d884-4980-a3b9-b5120549b736","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W1.01 Clearstory (APL Metro Thermal Heart+)","Glazing & Pre-Delivery"
