"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1464aab5-af3a-47d4-837a-967888186351","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"e913d3e1-7652-4e0f-85a9-f3c61d87ec7d","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"f401c6ef-e485-4278-b367-964b7e26ac50","","pass","","folder","TRUE","FALSE","Project QA","Item 1 - A3.W01 Unit 3 Living (APL Residential TH+)"
"faab7854-65e3-4db6-bf57-738b744f25b3","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - A3.W01 Unit 3 Living (APL Residential TH+)","Assembly"
"bf293a8d-064c-438c-a0f2-c5b62c2f70c8","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - A3.W01 Unit 3 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"80a4a972-500f-48df-8e37-de86e0528dc4","","pass","","folder","TRUE","FALSE","Project QA","Item 2 - A4.W01 Unit 4 Living (APL Residential TH+)"
"920a37a2-f6b8-4c75-83f1-cba1e29f7afd","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - A4.W01 Unit 4 Living (APL Residential TH+)","Assembly"
"640431f0-e7fd-4b08-8501-bf111930352c","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - A4.W01 Unit 4 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"f8f3b73b-392c-422c-b0e8-d828e919c29d","","pass","","folder","TRUE","FALSE","Project QA","Item 3 - A5.W01 Unit 5 Living (APL Residential TH+)"
"98077a22-6681-4900-ad4e-528caf12b0ba","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - A5.W01 Unit 5 Living (APL Residential TH+)","Assembly"
"6afeccba-dba7-4b6c-ac7f-0e0b5cf3da53","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - A5.W01 Unit 5 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"b4f7a76f-09b5-4d43-b6f8-9783b0c03b16","","pass","","folder","TRUE","FALSE","Project QA","Item 4 - A6.W01 Unit 6 Living (APL Residential TH+)"
"14598de2-263a-439c-951e-de81d5708d7b","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - A6.W01 Unit 6 Living (APL Residential TH+)","Assembly"
"6991c270-46c1-4ed3-a5e7-40239f76491f","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - A6.W01 Unit 6 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"ee0579c2-55ca-4932-8c19-bb3e404968d2","","pass","","folder","TRUE","FALSE","Project QA","Item 5 - A6.W03 Unit 6 Living (APL Residential TH+)"
"beb19fee-4bc0-462a-8b3b-98c2515fbf1d","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - A6.W03 Unit 6 Living (APL Residential TH+)","Assembly"
