"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"221ab0c4-6d08-45ca-b50c-59ba4ecd3558","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"6ecdbf26-62df-4f4b-a79c-a1f211b87a82","","not-started","","folder","TRUE","FALSE","Project QA"
"42948d65-06d4-45d5-b9ce-1ba4ade26a6d","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - EXTRA SINGLE SLIDING DOOR (APL Residential Series)"
"4f49f0e9-71b4-458f-a422-294455fd52f1","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - EXTRA SINGLE SLIDING DOOR (APL Residential Series)","Assembly"
"9b9cbf23-3f8b-4ca3-acd6-a4d983e63ff5","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - EXTRA SINGLE SLIDING DOOR (APL Residential Series)","Glazing & Pre-Delivery"
