"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"68b82efb-cd97-4042-8e59-e5548c68e834","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"393ad76e-8dc4-40a4-b84f-de5282fc6909","","not-started","","folder","TRUE","FALSE","Project QA"
"3f491f83-103b-4a41-a76e-ab68e30ced1e","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - W.01 (APL Metro Series)"
"15f555a6-41a2-4410-a62b-16f5781a4592","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - W.01 (APL Metro Series)","Assembly"
"98a5bb2e-8d86-43a2-b28d-b76065dccedb","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - W.01 (APL Metro Series)","Glazing & Pre-Delivery"
