"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0548f0a4-f4dd-49ee-9a65-2e66553865dd","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-10 Entry (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"5c5eb6e0-429c-4cdc-8ff2-bc98683636a2","","pass","","folder","TRUE","FALSE","Project QA","DE-28 Stairs (APL Architectural ThermalHEART+)"
"ab51a7d2-e91e-49ca-95b2-867670cee461","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-28 Stairs (APL Architectural ThermalHEART+)","Assembly"
"a97738dd-2aea-4c73-9ca8-75788abb1895","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-28 Stairs (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"a4f6c7ac-6d44-499c-9dc7-1722c0fd359b","","pass","","folder","TRUE","FALSE","Project QA","DE-21 Bedroom 2 (APL Architectural ThermalHEART+)"
"11be6ff8-1b08-4c23-ae5e-aa3d08e42cb9","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-21 Bedroom 2 (APL Architectural ThermalHEART+)","Assembly"
"e94bfcda-ab68-476f-91e2-d82e69420440","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-21 Bedroom 2 (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"1705998d-9a69-4d64-8307-8150005e41a5","","pass","","folder","TRUE","FALSE","Project QA","DE-22 Bedroom 2 (APL Architectural ThermalHEART+)"
"918e3c66-af69-49c3-aea7-4f2928e7c123","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-22 Bedroom 2 (APL Architectural ThermalHEART+)","Assembly"
"dd5e779b-9c2b-4f56-9be6-8490ded7b10c","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-22 Bedroom 2 (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"0b902151-ab89-4a9a-bd09-b7b41adabc53","","pass","","folder","TRUE","FALSE","Project QA","DE-23 WC (APL Architectural ThermalHEART+)"
"55efd952-ffd7-4d45-82e0-64dfc4f3761e","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-23 WC (APL Architectural ThermalHEART+)","Assembly"
"4d5867d7-551d-4588-9612-472fe0bcf857","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-23 WC (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"ad8adda1-6dc4-4d46-a5c2-c7db5b199429","","fail","","folder","TRUE","FALSE","Project QA","DE-24 Ensuite (APL Architectural ThermalHEART+)"
"a776848f-774c-4f8d-9ccd-db94c4551ed0","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-24 Ensuite (APL Architectural ThermalHEART+)","Assembly"
"4853a6fa-bed3-4e62-94f1-05779dd5942f","","fail","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-24 Ensuite (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"2e171afd-07f3-4f18-ba25-dbda78fdcc12","","not-started","","folder","TRUE","FALSE","Project QA","DE-25 Bedroom 1 (APL Architectural ThermalHEART+)"
"a75da719-4a91-437f-bf1a-4a34f8b2dd5d","","not-started","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-25 Bedroom 1 (APL Architectural ThermalHEART+)","Assembly"
"dbfc8c39-a376-4034-892e-206030e410cf","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-25 Bedroom 1 (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"39bd5e1e-5fbd-4338-b2b7-3d49e85afa95","","pass","","folder","TRUE","FALSE","Project QA","DE-26 Lounge (APL Architectural ThermalHEART+)"
"cf90defa-d3e2-42d6-afa2-b8533ad504ab","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-26 Lounge (APL Architectural ThermalHEART+)","Assembly"
"4dec9869-d451-4cdb-834d-7bea3f1ed5c1","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-26 Lounge (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"b426b890-5b45-4c32-a702-11b55fdf1294","","pass","","folder","TRUE","FALSE","Project QA","DE-27 Bedroom 2 (APL Architectural ThermalHEART+)"
"406a49e7-e61e-417f-a4e1-b94be1f234c1","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","DE-27 Bedroom 2 (APL Architectural ThermalHEART+)","Assembly"
"ed73c3a3-eefa-4a52-92f1-335c2271de36","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","DE-27 Bedroom 2 (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
