"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1b50cb03-6266-4039-be6e-dd89789075b1","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"cfb96fc3-fe16-447e-89a8-5e258e38591a","","not-started","","folder","TRUE","FALSE","Project QA"
"023e51b6-881b-4ba9-99a6-9fb129fe3da0","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - FIXED WINDOW (APL Metro Series)"
"5ab56b0e-4aa8-4fa0-ab62-15a590e6a78c","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - FIXED WINDOW (APL Metro Series)","Assembly"
"a1f46826-9e52-413c-a57c-bf85f6210e72","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - FIXED WINDOW (APL Metro Series)","Glazing & Pre-Delivery"
"d450656a-84fa-4f2f-b96d-743a4ab9a119","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - OPEN OUT HINGED DOOR (APL Residential Series)"
"5a2419f4-2035-4d37-b0ce-e5d6a5ebcd05","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - OPEN OUT HINGED DOOR (APL Residential Series)","Assembly"
"c53a8ef6-498d-4e0c-a5cd-deb10cfa83fe","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - OPEN OUT HINGED DOOR (APL Residential Series)","Glazing & Pre-Delivery"
