"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9baa6d29-5d17-41a0-8ffd-6b30dcd2505a","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"f8f875d8-acaa-4b93-aa3f-a8f38b35a9cd","","not-started","","folder","TRUE","FALSE","Project QA"
"15879743-55d1-4d90-91e4-521b6f2a4be9","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - Window 1 ( APL Standard Residential Series )"
"7c2b5f3d-7f00-4d03-bc29-ac17dc7dbc29","","not-started","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 1 - Window 1 ( APL Standard Residential Series )","Assembly"
"8edc34e2-d79d-400e-b7b5-31560c44a9be","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 1 - Window 1 ( APL Standard Residential Series )","Glazing & Pre-Delivery"
"8bb732e7-7d36-45f2-a084-8dcdd0d5759d","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - Window 2 ( APL Standard Residential Series )"
"a22b47d9-4f76-494c-9ef9-243add25208d","","not-started","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 2 - Window 2 ( APL Standard Residential Series )","Assembly"
"5283e806-f54b-4522-a6e3-7b81726bfefa","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 2 - Window 2 ( APL Standard Residential Series )","Glazing & Pre-Delivery"
