"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fbeeedfc-a379-441e-a2a4-aa5e848391d8","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"b581f5f6-33e6-43e1-8bc9-60ba4ca97115","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"e35ef62b-e056-4e84-9d94-ce8a88f038cc","","work-in-progress","","folder","TRUE","FALSE","Project QA","W1.08 Media (APL Architectural ThermalHEART+)"
"52a777ea-2f0a-4e1b-a68b-bfd0711e3f83","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W1.08 Media (APL Architectural ThermalHEART+)","Assembly"
"bbf8b39d-9f87-4b22-8619-3f33ebbaae70","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W1.08 Media (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"ef387875-630f-46df-9e0f-21090f450790","","work-in-progress","","folder","TRUE","FALSE","Project QA","W1.09 Hallway (APL Architectural ThermalHEART+)"
"4844c605-d10e-4f8c-9539-ef501dff0921","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W1.09 Hallway (APL Architectural ThermalHEART+)","Assembly"
"1107b597-1a2e-4524-9f11-3399a56c8da6","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W1.09 Hallway (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"7d512cfb-7a65-4d95-bcc8-36739b4760e9","","work-in-progress","","folder","TRUE","FALSE","Project QA","W1.10 Hallway (APL Architectural ThermalHEART+)"
"73fef431-1a7d-4df4-9689-f61606a2cc76","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W1.10 Hallway (APL Architectural ThermalHEART+)","Assembly"
"845ffa03-0cf4-4655-be81-5e8fa906f871","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W1.10 Hallway (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"956e6b1a-e8c5-4451-992a-aabdb6f67d2e","","work-in-progress","","folder","TRUE","FALSE","Project QA","W1.11 Hallway (APL Architectural ThermalHEART+)"
"6cf877b2-493c-435f-9696-ec7ac679c0e7","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W1.11 Hallway (APL Architectural ThermalHEART+)","Assembly"
"3e27c0dd-1dc0-4116-a2c4-fb6a7df30aad","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W1.11 Hallway (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"5058915d-f858-40d8-8f2b-6612d1a5683a","","not-started","","folder","TRUE","FALSE","Project QA","W1.12 Living (APL Architectural ThermalHEART+)"
"504e5578-7ef2-4223-8e3b-f4116e258854","","not-started","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W1.12 Living (APL Architectural ThermalHEART+)","Assembly"
"b0627099-b11d-44f7-8a3e-061fc3c79097","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W1.12 Living (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"5f219861-f73b-4811-b65f-aca4caddf249","","pass","","folder","TRUE","FALSE","Project QA","W1.13 Living (APL Architectural ThermalHEART+)"
"8a62e15d-c128-49e4-9f93-d89c1db1cd7e","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W1.13 Living (APL Architectural ThermalHEART+)","Assembly"
"ebd1568b-07b8-4579-9496-ece826c3bb35","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W1.13 Living (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
"422cca77-15e7-4c48-9134-f8aa3b9f05ad","","work-in-progress","","folder","TRUE","FALSE","Project QA","W1.14 Dining (APL Architectural ThermalHEART+)"
"cb3d240d-7801-4bc2-baba-6df9e6f62352","","not-applicable","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W1.14 Dining (APL Architectural ThermalHEART+)","Assembly"
"ca60c33c-a2a7-4f99-9388-f577b6e8f607","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W1.14 Dining (APL Architectural ThermalHEART+)","Glazing & Pre-Delivery"
