"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1ed14e3e-e853-48af-9a1c-749f296a6998","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"b68362f0-e7d2-45e4-b11c-4fea6cf0acf2","","not-started","","folder","TRUE","FALSE","Project QA"
"52c28b57-bde9-4703-ad0a-ef11d82fccab","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)"
"f978299b-9d1c-4b84-919c-ab1255ba8ad3","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)","Assembly"
"f505788c-101e-4ead-af11-6dba0bb4d4ea","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
