"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dd9389c7-51e3-44e0-a57a-dcb24e8f2a8f","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"f4b3f793-d81b-481d-9f62-338e3b9bc16f","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"ea2b8fdb-bd36-46d6-a771-93a7bc2ae92a","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)"
"0aaf96ce-372f-43ec-ba6c-ec1a89a0b619","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)","Assembly"
"8d2cbda2-315a-48ac-adc9-4d1fb54df7d6","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"b41e7ce3-8b3e-461d-8129-9127e963b7bb","","pass","","folder","TRUE","FALSE","Project QA","Item 2 - W1 Foyer (APL Residential TH+)"
"78b9372c-cf14-493d-b34f-de09da61c74c","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 2 - W1 Foyer (APL Residential TH+)","Assembly"
"4369ab71-da9a-41bc-9a2f-e263d5f91945","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 2 - W1 Foyer (APL Residential TH+)","Glazing & Pre-Delivery"
"75bf46f4-d78f-4095-a1a2-afef03f448a5","","pass","","folder","TRUE","FALSE","Project QA","Item 3 - W2 Study (APL Residential TH+)"
"f230068d-26e3-4531-9a5d-c5c639cf6e2a","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 3 - W2 Study (APL Residential TH+)","Assembly"
"f0bfbd2f-b948-44f6-b491-d049efa38299","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 3 - W2 Study (APL Residential TH+)","Glazing & Pre-Delivery"
"6faf6f2e-3989-489a-8dc9-e8d928a35f52","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 4 - D2 Hallway (APL Residential TH+)"
"19866659-6ce9-4150-b642-e352fd30a325","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 4 - D2 Hallway (APL Residential TH+)","Assembly"
"5826a1b7-5b78-4ce3-8acb-df3d8ec3309b","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 4 - D2 Hallway (APL Residential TH+)","Glazing & Pre-Delivery"
"6e2df9db-7007-4926-9567-9d5cb600e4a5","","pass","","folder","TRUE","FALSE","Project QA","Item 5 - W3 WC (APL Residential TH+)"
"c27fc295-8e2e-4837-a4ad-2124cd6a2e08","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 5 - W3 WC (APL Residential TH+)","Assembly"
"ee3f7ed3-9cda-46bb-bb4e-fc832d94d6a2","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 5 - W3 WC (APL Residential TH+)","Glazing & Pre-Delivery"
"180f4934-9c24-4ea1-9f71-e4d0d5d6343f","","pass","","folder","TRUE","FALSE","Project QA","Item 6 - W4 Bathroom (APL Residential TH+)"
"5c25225b-f7b3-40c3-a55a-a7c5f0001e26","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 6 - W4 Bathroom (APL Residential TH+)","Assembly"
"307bb0fc-65aa-4a0e-8792-a0b7ecd84a88","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 6 - W4 Bathroom (APL Residential TH+)","Glazing & Pre-Delivery"
"0004714e-a889-45ba-a176-32d9c8ee640a","","pass","","folder","TRUE","FALSE","Project QA","Item 7 - W5 Bathroom (APL Residential TH+)"
"6192ba69-13fe-4d5b-89dd-2738529b6883","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 7 - W5 Bathroom (APL Residential TH+)","Assembly"
"060f51b2-08dc-4536-b784-ca67507568aa","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 7 - W5 Bathroom (APL Residential TH+)","Glazing & Pre-Delivery"
"9cdbb5df-29c2-4006-b56f-e806b641e90f","","pass","","folder","TRUE","FALSE","Project QA","Item 8 - D3 Laundry (APL Residential TH+)"
"4bdb7c87-592b-4410-82ef-f5a27843f932","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 8 - D3 Laundry (APL Residential TH+)","Assembly"
"2c92ae6f-4ff2-434e-803f-0f1ad6903369","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 8 - D3 Laundry (APL Residential TH+)","Glazing & Pre-Delivery"
"a9acfd42-b9f9-409e-b5bc-a98f6db4d604","","pass","","folder","TRUE","FALSE","Project QA","Item 9 - W6 Ensuite (APL Residential TH+)"
"2017cb0d-1280-40c1-afed-8f36b86b2f1a","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 9 - W6 Ensuite (APL Residential TH+)","Assembly"
"6bb5a95a-eddf-4e38-9b53-c81328a6ac71","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 9 - W6 Ensuite (APL Residential TH+)","Glazing & Pre-Delivery"
"c3991111-5c94-4c11-bfa9-adc7f9bca00b","","pass","","folder","TRUE","FALSE","Project QA","Item 10 - W7 Master Bedroom (APL Residential TH+)"
"5120cf75-6fcf-4f3e-b918-1543eadec7c1","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 10 - W7 Master Bedroom (APL Residential TH+)","Assembly"
"ee727a5d-20df-4106-bb4f-f423b54f641c","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 10 - W7 Master Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"0436b80c-17a0-4a10-87e6-3c9175197c08","","pass","","folder","TRUE","FALSE","Project QA","Item 11 - W8 Master Bedroom (APL Residential TH+)"
"2001fb41-a3f0-42ea-aeff-5838d2865135","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 11 - W8 Master Bedroom (APL Residential TH+)","Assembly"
"b5b0ee80-a41e-4734-b404-ea9e38ab1aa2","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 11 - W8 Master Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"709738a9-3916-4acb-becc-1aa851dbddcb","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 12 - D4 Master Bedroom (APL Residential TH+)"
"1d17473c-e04c-415e-a6d7-ea8b4ca5ce85","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 12 - D4 Master Bedroom (APL Residential TH+)","Assembly"
"d599e311-eb7a-41f7-a193-9c583a0f5a82","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 12 - D4 Master Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"89f9e516-a3c4-43e6-a323-b8cefb3328d1","","pass","","folder","TRUE","FALSE","Project QA","Item 13 - W10 Master Bedroom (APL Residential TH+)"
