"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bf606ad9-4820-4bae-82be-1d1a17ec0b68","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - WG-12 Bed 4 (APL Residential TH+)","Glazing & Pre-Delivery"
"18f7517f-0107-4f62-9232-f790eeb5bf10","","pass","","folder","TRUE","FALSE","Project QA","Item 11 - WG-13 Bed 4 (APL Residential TH+)"
"b810b882-5ff1-4c9c-85be-bad5d49bb6f1","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 11 - WG-13 Bed 4 (APL Residential TH+)","Assembly"
"7f32ef8d-4d1a-4a42-b376-f2abbd389531","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - WG-13 Bed 4 (APL Residential TH+)","Glazing & Pre-Delivery"
"60b39ab3-a945-46d1-aa4a-50ed659c7129","","pass","","folder","TRUE","FALSE","Project QA","Item 12 - WG-14 Ensuite 2 (APL Residential TH+)"
"a4ca14a2-4236-4381-b7b3-f47567c39e3a","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 12 - WG-14 Ensuite 2 (APL Residential TH+)","Assembly"
"8216e8d3-cacd-4b0a-a01e-0414c216c297","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - WG-14 Ensuite 2 (APL Residential TH+)","Glazing & Pre-Delivery"
"d576b664-e459-4851-8002-b5f7b3bd012a","","pass","","folder","TRUE","FALSE","Project QA","Item 13 - WG-15 Media (APL Residential TH+)"
"71d78755-550f-4986-8f4a-4f7a93125c83","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 13 - WG-15 Media (APL Residential TH+)","Assembly"
"5531ce47-a6ff-47c0-a14d-6e6caa05fa9a","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - WG-15 Media (APL Residential TH+)","Glazing & Pre-Delivery"
