"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8ed990b9-ded6-4587-aabf-30d85a8d9fe0","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"959e2fd9-38ec-4429-87b5-30cbd034a1b6","","fail","","folder","TRUE","FALSE","Project QA"
"a3e7500c-177d-4833-93ff-ae1e3df9d144","","fail","","folder","TRUE","FALSE","Project QA","EXT- L1 01/ EXT- L1 02 Storage (APL Metro TH+)"
"87980283-d1cf-4f85-82ec-9ecbd40848cc","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","EXT- L1 01/ EXT- L1 02 Storage (APL Metro TH+)","Assembly"
"21f965ad-327a-4262-8f34-adca481bb1cc","","fail","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","EXT- L1 01/ EXT- L1 02 Storage (APL Metro TH+)","Glazing & Pre-Delivery"
"17a72fd4-8e70-4746-a20e-67cd17e004a3","","work-in-progress","","folder","TRUE","FALSE","Project QA","EXT- L2 02 Media (APL Metro TH+)"
"5f64e3cc-efe6-4341-a16b-03f884235362","","not-started","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","EXT- L2 02 Media (APL Metro TH+)","Assembly"
"5a2ca283-7652-4d1f-982e-f6e70fe4754a","","work-in-progress","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","EXT- L2 02 Media (APL Metro TH+)","Glazing & Pre-Delivery"
"4055ddd4-3773-4c57-9ad5-3066da2f6f52","","pass","","folder","TRUE","FALSE","Project QA","EXT- L2 03 Bed 2 (APL Metro TH+)"
"95d296b2-0e03-42dd-a4c6-250b36077e97","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","EXT- L2 03 Bed 2 (APL Metro TH+)","Assembly"
"69fbe958-117e-4a67-8e37-31048d2655e0","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","EXT- L2 03 Bed 2 (APL Metro TH+)","Glazing & Pre-Delivery"
"227aa68e-0192-439f-bf83-3b21ce74c00a","","work-in-progress","","folder","TRUE","FALSE","Project QA","EXT- L2 04 (APL Metro TH+)"
"1b5f4c20-c735-4ae9-b300-6d1dc639548b","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","EXT- L2 04 (APL Metro TH+)","Assembly"
