"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c354c362-c958-43ce-8f8b-4f53bbf3d290","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"a770d56a-d0b5-4b96-90a1-d9c6a01774ca","","not-started","","folder","TRUE","FALSE","Project QA"
"e2c1aba4-b419-4d77-8203-049edf01c0d2","","not-started","","folder","TRUE","FALSE","Project QA","First Garden (SHOP FRONT 100mm)"
"3658fbd0-b48a-4cfc-8248-d76498772b72","","not-started","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","First Garden (SHOP FRONT 100mm)","Assembly"
"073883f8-995b-4e77-9a75-b864fe9980f9","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","First Garden (SHOP FRONT 100mm)","Glazing & Pre-Delivery"
"c52e2309-c0a0-4999-9138-45fa4df80915","","not-started","","folder","TRUE","FALSE","Project QA","End Carpark (SHOP FRONT 100mm)"
"acfbec50-3e7d-4c09-a8d4-e55848876d36","","not-started","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","End Carpark (SHOP FRONT 100mm)","Assembly"
"7d62ba3d-a192-43d5-93ab-916707399516","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","End Carpark (SHOP FRONT 100mm)","Glazing & Pre-Delivery"
