"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6cd8d752-ea16-4eb7-9b6f-a35124c35e11","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"24287480-c4ac-45b0-bbed-c1eff4be721c","","fail","","folder","TRUE","FALSE","Project QA"
"abb46de4-8b58-40a8-b970-7445c28ec61e","","fail","","folder","TRUE","FALSE","Project QA","Living ( APL Arctitectural ThermalHeart + )"
"a0e201cc-b9a0-4612-9e82-8d6186b32858","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Living ( APL Arctitectural ThermalHeart + )","Assembly"
"3894e668-5239-49ae-b861-7e8b3a1b826a","","fail","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Living ( APL Arctitectural ThermalHeart + )","Glazing & Pre-Delivery"
"8895b303-be81-4745-8052-a0a72a1ab79a","","fail","","folder","TRUE","FALSE","Project QA","Living ( APL Archtitectural ThermalHeart+ )"
"e845afa0-58f6-4b24-a596-7c9878177969","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Living ( APL Archtitectural ThermalHeart+ )","Assembly"
"8d08e3c3-3f28-4a29-bdab-e555203bb670","","fail","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Living ( APL Archtitectural ThermalHeart+ )","Glazing & Pre-Delivery"
"20469150-c32b-44d9-8e9b-66062f76cb92","","fail","","folder","TRUE","FALSE","Project QA","Lounge ( APL Archtitectural ThermalHeart+ )"
"d3259f92-2640-4beb-84a0-338fe6c46e73","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Lounge ( APL Archtitectural ThermalHeart+ )","Assembly"
"76465cae-a209-4d88-b21c-141da3b91ebc","","fail","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Lounge ( APL Archtitectural ThermalHeart+ )","Glazing & Pre-Delivery"
