"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1c92a78b-8400-43d0-8c4a-9f0ee2ee9a9f","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"054e601f-fea3-4a72-90c2-717265dd17d8","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"81036d9f-ea2c-439d-b0da-782555390d82","","work-in-progress","","folder","TRUE","FALSE","Project QA","GW01 Living/ Dining (APL Architectural TH+)"
"ff17c1e2-5b3b-4877-9c8e-4555bcaa75e3","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW01 Living/ Dining (APL Architectural TH+)","Assembly"
"9195e958-c496-4f88-aa9b-afd0d89f573e","","not-applicable","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW01 Living/ Dining (APL Architectural TH+)","Glazing & Pre-Delivery"
"f22118f7-8631-45bc-a666-f138c26540be","","work-in-progress","","folder","TRUE","FALSE","Project QA","GW02 Second Living (APL Metro TH+)"
"35bbb170-fefb-4355-8ab5-a5801771f5dd","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW02 Second Living (APL Metro TH+)","Assembly"
"9a87fc55-c7e4-4ecc-867d-d973e2f090a6","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW02 Second Living (APL Metro TH+)","Glazing & Pre-Delivery"
"a040cdf8-ca19-4e7c-bdb4-32094e81a0cf","","pass","","folder","TRUE","FALSE","Project QA","GW03 Second Living (APL Metro TH+)"
"db2d0788-edbe-4e13-a106-f78946d85a8b","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW03 Second Living (APL Metro TH+)","Assembly"
"4f9c989d-dfba-4f7c-881c-da7d0582bb45","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW03 Second Living (APL Metro TH+)","Glazing & Pre-Delivery"
"50688015-7745-4027-a599-cbb4b6dc65fe","","pass","","folder","TRUE","FALSE","Project QA","GW05 Laundry (APL Metro TH+)"
"d5591c3b-00cf-4ba3-aa06-f18c8e52f5e4","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW05 Laundry (APL Metro TH+)","Assembly"
"8059ad40-1514-4d93-bc6e-4be134763f52","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW05 Laundry (APL Metro TH+)","Glazing & Pre-Delivery"
"82d857c5-2a00-4328-afe2-09bbc8e7bdec","","pass","","folder","TRUE","FALSE","Project QA","GW06 Laundry (APL Metro TH+)"
"a1a91308-b46b-4425-b31f-3d916cfee5fd","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW06 Laundry (APL Metro TH+)","Assembly"
"39186dea-1de7-4c74-b95c-764e21731c80","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW06 Laundry (APL Metro TH+)","Glazing & Pre-Delivery"
"bd4bf23f-ea5e-457f-b946-23aa310fe10e","","work-in-progress","","folder","TRUE","FALSE","Project QA","GW08 WC (APL Metro TH+)"
"fda763cf-adc9-4bac-8b4a-08dffeb854c9","","work-in-progress","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW08 WC (APL Metro TH+)","Assembly"
"37b5ad32-d459-489b-9866-0128c211054f","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW08 WC (APL Metro TH+)","Glazing & Pre-Delivery"
"8d16eb0f-4ddc-4066-84fc-f5b4891fe724","","pass","","folder","TRUE","FALSE","Project QA","GW09 Bathroom (APL Metro TH+)"
"5b160522-f643-4352-b64d-55124e468364","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW09 Bathroom (APL Metro TH+)","Assembly"
"fe366f19-cfe1-471f-b41a-2491f10fc949","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW09 Bathroom (APL Metro TH+)","Glazing & Pre-Delivery"
"154cba4c-8255-4f19-9c5f-ffea68579a7d","","pass","","folder","TRUE","FALSE","Project QA","GW10 Bathroom (APL Metro TH+)"
"f64cc958-95c6-4c24-ad86-35eaa51e3dd3","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW10 Bathroom (APL Metro TH+)","Assembly"
"bc66faa8-7a2f-4801-abf3-f9db6b4b44b0","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW10 Bathroom (APL Metro TH+)","Glazing & Pre-Delivery"
"49411134-ad65-4d8b-83da-4c162b3e0eca","","work-in-progress","","folder","TRUE","FALSE","Project QA","GW11 Bedroom 4 (APL Metro TH+)"
"3dc23af0-1f11-4a2b-82e8-cefcd74645eb","","work-in-progress","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW11 Bedroom 4 (APL Metro TH+)","Assembly"
"17e43601-8ad2-47e6-b02b-b10d6f72db9b","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW11 Bedroom 4 (APL Metro TH+)","Glazing & Pre-Delivery"
"808bdc43-6409-48d6-b8f3-81ed8a22b487","","pass","","folder","TRUE","FALSE","Project QA","GW12 Bedroom 3 (APL Metro TH+)"
"dabf5f7f-f0a7-489c-bedb-6b87ffa11b5e","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW12 Bedroom 3 (APL Metro TH+)","Assembly"
"3d04b198-9467-4a00-8d66-956414988230","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW12 Bedroom 3 (APL Metro TH+)","Glazing & Pre-Delivery"
"8464b01c-c127-4f6b-9689-b7bc72b6a4c9","","pass","","folder","TRUE","FALSE","Project QA","GW13 Hallway (APL Metro TH+)"
"d6f99709-fd9d-41a7-b8cd-a5adada9e373","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW13 Hallway (APL Metro TH+)","Assembly"
"ca7c3d15-f937-473a-9453-6817c0efacaa","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW13 Hallway (APL Metro TH+)","Glazing & Pre-Delivery"
"3d47ba00-3f3c-4380-965b-f40c8ec84bd4","","work-in-progress","","folder","TRUE","FALSE","Project QA","GW18 Living (APL Architectural TH+)"
"866417af-7222-43d8-b3ba-36c0d9439a49","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","GW18 Living (APL Architectural TH+)","Assembly"
"deb77b75-c7f9-4ef5-895c-28260831e729","","not-applicable","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","GW18 Living (APL Architectural TH+)","Glazing & Pre-Delivery"
"48ea199c-96bf-4823-81d4-68ee9e84ffdd","","pass","","folder","TRUE","FALSE","Project QA","FW01 Master Bedroom (APL Architectural TH+)"
"708286e2-a291-4238-99e3-9b49f4924742","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","FW01 Master Bedroom (APL Architectural TH+)","Assembly"
"0a55d4e3-e9fe-4a32-a0fa-bb85b0950493","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","FW01 Master Bedroom (APL Architectural TH+)","Glazing & Pre-Delivery"
"421c46ea-38ec-414f-ac19-4784d3306260","","pass","","folder","TRUE","FALSE","Project QA","FW03 Master Bedroom (APL Metro TH+)"
"0eed29d0-8f85-4302-967d-1542bfd97b98","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","FW03 Master Bedroom (APL Metro TH+)","Assembly"
"a480cd6c-d1e1-40f6-9e46-3879d2882e8f","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","FW03 Master Bedroom (APL Metro TH+)","Glazing & Pre-Delivery"
"ecab8ac7-419f-463c-8a79-8744a73ff78c","","pass","","folder","TRUE","FALSE","Project QA","FW04 Master Bedroom (APL Metro TH+)"
"e163972d-3ee6-41f1-8025-21a376888685","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","FW04 Master Bedroom (APL Metro TH+)","Assembly"
"07f80bc0-59b8-4722-85ee-e4aa793129ba","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","FW04 Master Bedroom (APL Metro TH+)","Glazing & Pre-Delivery"
"234e6128-7546-4d8f-bcee-f5a57f95683e","","pass","","folder","TRUE","FALSE","Project QA","FW05 Ensuite (APL Metro TH+)"
"9e8d75cc-837e-41e3-bfdf-e2d514e52034","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","FW05 Ensuite (APL Metro TH+)","Assembly"
"9de91b80-84f7-4cd4-981f-86f40da0d393","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","FW05 Ensuite (APL Metro TH+)","Glazing & Pre-Delivery"
"c488b014-aff6-46d3-bf5f-0622bd42bb8a","","pass","","folder","TRUE","FALSE","Project QA","FW06 Ensuite (APL Metro TH+)"
"ebf95a7b-e031-4a93-8f02-779067179edf","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","FW06 Ensuite (APL Metro TH+)","Assembly"
"57fc6471-3fe9-4135-b2cd-520a8907019c","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","FW06 Ensuite (APL Metro TH+)","Glazing & Pre-Delivery"
