"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7a2f800f-8a6f-4ad1-864b-32bb5ebdf83a","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"16060300-183b-46ae-99bd-c3d4f0607de4","","not-started","","folder","TRUE","FALSE","Project QA"
"de5ac6af-dd77-41a9-8129-2ec631cc35ad","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - Garage ( APL Residential Series )"
"d3df4c59-9f2f-46b7-af21-9ab2345cc6d5","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - Garage ( APL Residential Series )","Assembly"
"2a0385b8-7baf-4b37-8e09-54d3d014cd68","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Garage ( APL Residential Series )","Glazing & Pre-Delivery"
"4fdfe216-da51-44c8-9cad-3d5f2305c8b8","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - Upstairs bed ( APL Residential Series )"
"9208b2a7-fe1a-4406-8e60-fd7a19cd9190","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - Upstairs bed ( APL Residential Series )","Assembly"
"c6dc7825-a8e0-4824-b741-3dfb37a17955","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - Upstairs bed ( APL Residential Series )","Glazing & Pre-Delivery"
"66c2aeff-5223-4bb0-9a0f-4d70cac81878","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - Ldry/bath ( APL Residential Series )"
"3ad23560-72da-4369-abdf-3a18590f1907","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - Ldry/bath ( APL Residential Series )","Assembly"
"8a22b56b-ba05-412e-b5f7-886d7d26c8a3","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - Ldry/bath ( APL Residential Series )","Glazing & Pre-Delivery"
"7fbc1007-ee82-418d-932c-bbfa8b17bfb2","","not-started","","folder","TRUE","FALSE","Project QA","Item 4 - Bath ( APL Residential Series )"
"0ae0e3b3-2545-4dc3-b60c-7a1be4c5d144","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - Bath ( APL Residential Series )","Assembly"
"b2c7eb4a-5687-480c-8cbb-fb2942e665b3","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - Bath ( APL Residential Series )","Glazing & Pre-Delivery"
