"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b1bffd2b-51d7-45c7-96ae-bf40287be5fd","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"5f9896e4-34c4-48b2-a3ac-0215d23449e5","","not-started","","folder","TRUE","FALSE","Project QA"
"13257978-adf3-4aa2-b012-4dc20b8a5a26","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - D1 Entry (APL Architectural Series)"
"b771e232-d25d-48fb-b444-f939a859bf66","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Architectural Series)","Assembly"
"014abe95-2575-40fe-8a31-e14df668cd8e","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Architectural Series)","Glazing & Pre-Delivery"
"481e402f-1528-4e87-986b-20cb7849bc51","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - W1 (APL Architectural Series) MODS"
"1e398bc1-fa5b-4b2c-9f53-ae55b5a680f6","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - W1 (APL Architectural Series) MODS","Assembly"
"3ceca2a6-e044-44a8-b459-7d08b8e91a97","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - W1 (APL Architectural Series) MODS","Glazing & Pre-Delivery"
"1a162325-6a12-415a-a2eb-465d446b4ef3","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - D2 (APL Architectural Series)"
"d1db2717-1536-409e-93eb-66b0b8637d80","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - D2 (APL Architectural Series)","Assembly"
"232a934c-d7a9-4d15-b093-395f5292baa6","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - D2 (APL Architectural Series)","Glazing & Pre-Delivery"
