"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9cbc012c-9683-46c1-951b-ca60e7547789","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"24b9c591-e2ab-4168-97fb-f469fc592914","","not-started","","folder","TRUE","FALSE","Project QA"
"aad7e6cf-0bed-4082-9d68-3d23ca97d821","","not-started","","folder","TRUE","FALSE","Project QA","Plasma PLA00 Panel --- NO OUTERFRAME"
"fb7e8e3b-7deb-45e3-920b-c4bc459ea754","","not-started","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Plasma PLA00 Panel --- NO OUTERFRAME","Assembly"
"b23c8b00-3ee1-46b9-ac2c-b5c22ab05c54","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Plasma PLA00 Panel --- NO OUTERFRAME","Glazing & Pre-Delivery"
