"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1400e155-f259-4359-9058-587104b75465","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"22ce7daa-f426-4008-b132-21668ea8e63a","","not-started","","folder","TRUE","FALSE","Project QA"
"e630e2ca-4dae-4720-8307-c35466a9aa18","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - Laundry (MTH+)"
"dd545dfb-45d0-4c95-af2f-01578d4bd3f7","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Laundry (MTH+)","Assembly"
"2ab1e919-00b7-49cf-90e8-ea7a3e4c7085","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Laundry (MTH+)","Glazing & Pre-Delivery"
