"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"76ea44ce-dd1c-4bbb-9982-6ef5e44656d6","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"08669909-85de-4767-9f48-353965930203","","not-started","","folder","TRUE","FALSE","Project QA"
"d73ff003-10b4-4a8d-b3be-4371b394ad3c","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - Slider ( APL Residential Series )"
"5447bfd9-324b-4904-9002-029efc061d68","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Slider ( APL Residential Series )","Assembly"
"aae1c63d-c4a3-4f8c-82b5-80a13be76c4b","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Slider ( APL Residential Series )","Glazing & Pre-Delivery"
