"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"03134b1e-3d90-4213-af6f-ce982fd2146e","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"35dccd09-ed8c-47a8-b3b5-6b575da47ff2","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"0b7b7be8-d313-4c25-b8d5-defeb36da527","","work-in-progress","","folder","TRUE","FALSE","Project QA","CW01 100MM FLUSHGLAZE"
"fa848ea9-f8b0-40a4-b76e-3324328013e1","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","CW01 100MM FLUSHGLAZE","Assembly"
"f7b34864-aace-4a7d-8775-b68f41dbe2dc","","not-started","ac4373e3b7d46c63e51624216663eb7a5df8c462efe70f9a740bff54e487b190","checklist","FALSE","FALSE","Project QA","CW01 100MM FLUSHGLAZE","Glazing & Pre-Delivery"
"3a80a988-2ac2-4983-876a-52c4466dbfd9","","work-in-progress","","folder","TRUE","FALSE","Project QA","CW02 100MM FLUSHGLAZE"
"025d7d65-30e3-48bd-9ef6-fd7274554044","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","CW02 100MM FLUSHGLAZE","Assembly"
"0897bcf8-832d-4623-94f9-b2ed58de90ad","","not-started","ac4373e3b7d46c63e51624216663eb7a5df8c462efe70f9a740bff54e487b190","checklist","FALSE","FALSE","Project QA","CW02 100MM FLUSHGLAZE","Glazing & Pre-Delivery"
