"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ddbb07d4-aa77-4dfc-ab45-92b3e1e910be","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"5ae813c4-9ed0-42fd-b7a1-17aff6389c9b","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"ff501df0-d97e-47fa-bba5-3924f6a0f189","","work-in-progress","","folder","TRUE","FALSE","Project QA","W01 Entry (APL Architectural Series) 106MM SUITE"
"ba18af9a-5c2a-473d-ba2e-5dc515583ef1","","work-in-progress","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W01 Entry (APL Architectural Series) 106MM SUITE","Assembly"
"64fb9068-a00e-4c9a-81d9-749d8f4f647c","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W01 Entry (APL Architectural Series) 106MM SUITE","Glazing & Pre-Delivery"
"84987e61-f364-4a46-bd6c-adfa91357d91","","pass","","folder","TRUE","FALSE","Project QA","W02 Foyer (APL Metro Series)"
"486d814c-aee9-4427-98c0-4c4b4b3c4cd2","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W02 Foyer (APL Metro Series)","Assembly"
"abe9d045-990e-4f9c-9552-60ed1d51057a","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W02 Foyer (APL Metro Series)","Glazing & Pre-Delivery"
"c1429cc4-e2de-4b0c-8a11-eb7f37de2c38","","pass","","folder","TRUE","FALSE","Project QA","W03 Living / Dining (APL Metro Series)"
"a0bbe09e-429c-41ce-b522-d2db40268f31","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W03 Living / Dining (APL Metro Series)","Assembly"
"557b3119-3a1a-4982-be66-97bbf4c4fc57","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W03 Living / Dining (APL Metro Series)","Glazing & Pre-Delivery"
"f1fdc2d7-f965-4aeb-b982-d1bca031ce8a","","pass","","folder","TRUE","FALSE","Project QA","W04 Living / Dining (APL Metro Series)"
"b5494a17-1629-4ff3-9bc6-47114cb9fe31","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W04 Living / Dining (APL Metro Series)","Assembly"
"bfe75465-7c8f-4023-8987-f9b7ddde6a52","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W04 Living / Dining (APL Metro Series)","Glazing & Pre-Delivery"
"a0f83a69-34b2-433c-925e-0385b8dbd9d4","","pass","","folder","TRUE","FALSE","Project QA","W05 Bed 1 (APL Metro Series)"
"181dbabd-e2ce-4e37-947c-c566da6e4a6c","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W05 Bed 1 (APL Metro Series)","Assembly"
"111206d2-83a4-4ede-8b0b-1889607ffb6a","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W05 Bed 1 (APL Metro Series)","Glazing & Pre-Delivery"
"b343f06f-85cb-4129-a4d4-9e3f6f44180b","","pass","","folder","TRUE","FALSE","Project QA","W06 Bed 1 (APL Metro Series)"
"ece684c7-acd6-4781-aac5-49f4eeb33655","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W06 Bed 1 (APL Metro Series)","Assembly"
"dd7cc41b-5bf9-4307-ae59-e37079cb6b18","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W06 Bed 1 (APL Metro Series)","Glazing & Pre-Delivery"
"f418cc3e-f1b3-4bdf-ab8e-382b2c84f23f","","pass","","folder","TRUE","FALSE","Project QA","W07 Master Bedroom (APL Metro Series)"
"2e9ac097-4057-45d5-82b6-f791773af1e8","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W07 Master Bedroom (APL Metro Series)","Assembly"
"9d78b26c-6419-48bb-8975-d5b4eb48d4cf","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W07 Master Bedroom (APL Metro Series)","Glazing & Pre-Delivery"
"43c46f09-ffbd-47b0-b921-1e0c7e90722c","","pass","","folder","TRUE","FALSE","Project QA","W08 Master Bedroom (APL Metro Series)"
"ce29c784-4421-41d6-8206-67b472120118","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W08 Master Bedroom (APL Metro Series)","Assembly"
"f96aedc4-8f5d-42c1-bab5-0a25a799e982","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W08 Master Bedroom (APL Metro Series)","Glazing & Pre-Delivery"
"ddfccde5-f350-424d-8bc9-4a22af0ca3da","","pass","","folder","TRUE","FALSE","Project QA","W17 Ensuite (APL Metro Series)"
"2c05f444-824e-4461-a948-2efb14b8aab2","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W17 Ensuite (APL Metro Series)","Assembly"
"23cafb50-99b2-4717-813c-e6c853a1f916","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W17 Ensuite (APL Metro Series)","Glazing & Pre-Delivery"
"c488bc20-3c02-46aa-a380-88d3a102ae13","","pass","","folder","TRUE","FALSE","Project QA","W19 Ensuite (APL Metro Series)"
"3b9656c6-a347-418c-bdbe-315d188e23bd","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W19 Ensuite (APL Metro Series)","Assembly"
"501c7563-a2a1-4678-a027-7f726babc0c3","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W19 Ensuite (APL Metro Series)","Glazing & Pre-Delivery"
"24b92f95-100a-46bd-b6ce-ceb4c9478136","","pass","","folder","TRUE","FALSE","Project QA","W09 Bedroom 2 (APL Metro Series)"
"b234b143-cd2b-43fd-a084-22ab7e59d358","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W09 Bedroom 2 (APL Metro Series)","Assembly"
"32b1dc6c-9b59-42ae-aaae-7c02c1e50b22","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W09 Bedroom 2 (APL Metro Series)","Glazing & Pre-Delivery"
"093b25db-cb0d-442a-9579-a5c146667475","","pass","","folder","TRUE","FALSE","Project QA","W10 Bedroom 2 (APL Metro Series)"
"c98b5478-11b4-4497-a93a-f2ac6c8dd0ba","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W10 Bedroom 2 (APL Metro Series)","Assembly"
"df18bf61-8ae8-4f4f-8c71-a1e719e6bea4","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W10 Bedroom 2 (APL Metro Series)","Glazing & Pre-Delivery"
