"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"03efc193-3ee9-4b9d-8aa1-7eb50e30b607","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"f98a0a8b-27a6-4f9a-b857-041f55954f90","","not-started","","folder","TRUE","FALSE","Project QA"
"0d9dca9c-aebf-4fb7-b1ea-b21250297103","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - D101 Entry ( APL Residential Series )"
"8f5afcef-2e70-4a09-a924-260a4a3c0a08","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - D101 Entry ( APL Residential Series )","Assembly"
"078f575a-60bb-473a-af17-847b5587992c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - D101 Entry ( APL Residential Series )","Glazing & Pre-Delivery"
"45abc4ca-3da3-4b0a-8be1-628a184ddf50","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - W101 Lounge ( APL Residential Series )"
"6593175c-4ffd-4ff4-9334-8a8f64ec6a1b","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - W101 Lounge ( APL Residential Series )","Assembly"
"38e01738-56d0-4acb-b3bb-b5923c1b7d90","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - W101 Lounge ( APL Residential Series )","Glazing & Pre-Delivery"
"9eea81a3-8746-41ab-9cd8-1875eeaf0918","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - W102 Stairs ( APL Residential Series )"
"f7a570dd-00ac-4db8-a1bd-6d2ed6af2fb9","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - W102 Stairs ( APL Residential Series )","Assembly"
"8ab618d4-0c68-415a-af92-9cb4963c82f9","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - W102 Stairs ( APL Residential Series )","Glazing & Pre-Delivery"
"e6db26a1-a788-4574-b8e6-b15247253710","","not-started","","folder","TRUE","FALSE","Project QA","Item 4 - W103 Kitchen ( APL Residential Series )"
"8313a60c-b2e7-40b0-b165-d4d6b5df373d","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - W103 Kitchen ( APL Residential Series )","Assembly"
"766caea5-45f7-4203-b331-dfca51f3f129","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - W103 Kitchen ( APL Residential Series )","Glazing & Pre-Delivery"
