"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"87f5bc1b-a3ef-49c6-a586-1753dc511f5e","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"9b3f98bc-adf6-418d-b5c3-bcd2ea6b8cac","","not-started","","folder","TRUE","FALSE","Project QA"
"32985459-3cd6-4adb-8c7e-c840c7e1b626","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)"
"6192c733-9bf3-47de-8ed5-8ebda1e616b0","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)","Assembly"
"3a887243-689c-47c9-b71a-db1c50ff8d37","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"327575fc-be07-4d4e-bea4-a1c9b989f3e5","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - W1 Office (APL Residential TH+)"
"46369001-d571-4f1b-91f3-36ab70bbebb7","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - W1 Office (APL Residential TH+)","Assembly"
"7703a7ec-534a-4b30-8aac-4b7c14dac846","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - W1 Office (APL Residential TH+)","Glazing & Pre-Delivery"
"be87971a-e9e6-4676-b2dd-5273b5f3ae3f","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - W2 Garage (APL Residential TH+)"
"c655df04-ff23-48b8-bf0d-9ae175b573d0","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - W2 Garage (APL Residential TH+)","Assembly"
"23ee15e3-c3d6-4d8a-b014-22bf64addf56","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - W2 Garage (APL Residential TH+)","Glazing & Pre-Delivery"
"465a2883-fb8e-4f38-9fe6-aca1f5cb7f4d","","not-started","","folder","TRUE","FALSE","Project QA","Item 4 - W3 Garage (APL Residential TH+)"
"86263f09-af37-496f-beb8-5fa063cfe76a","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - W3 Garage (APL Residential TH+)","Assembly"
"f0b34b80-88d3-45d8-a464-3f17cdfd18b1","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - W3 Garage (APL Residential TH+)","Glazing & Pre-Delivery"
"d411c54d-62fe-4079-a78c-0951a976d0aa","","not-started","","folder","TRUE","FALSE","Project QA","Item 5 - D2 Garage (APL Residential TH+)"
"0fc123f5-59e0-4bce-b2bd-28e8460a51f0","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 5 - D2 Garage (APL Residential TH+)","Assembly"
"5173fc6d-4161-4e56-b0a6-aab39d260044","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - D2 Garage (APL Residential TH+)","Glazing & Pre-Delivery"
"7749e7af-76a1-4b63-92b5-36658e098913","","not-started","","folder","TRUE","FALSE","Project QA","Item 6 - D3 Laundry (APL Residential TH+)"
"55ec25c9-d023-4d90-964d-c6ed08f90e7b","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 6 - D3 Laundry (APL Residential TH+)","Assembly"
"bf676096-0d82-4b84-8c2f-338fdc3c2680","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - D3 Laundry (APL Residential TH+)","Glazing & Pre-Delivery"
"6d78b17f-079b-41cb-9387-af9a249c7344","","not-started","","folder","TRUE","FALSE","Project QA","Item 7 - W4 Bathroom (APL Residential TH+)"
"a77ee0e3-2e50-435c-9576-b143be5ad78c","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 7 - W4 Bathroom (APL Residential TH+)","Assembly"
"70ab1979-d188-47eb-a6a6-5bb82e72878c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - W4 Bathroom (APL Residential TH+)","Glazing & Pre-Delivery"
"23ca0486-ed75-4206-bb51-fa45fa0569e9","","not-started","","folder","TRUE","FALSE","Project QA","Item 8 - D4 Kitchen (APL Residential TH+)"
"b7d41c6c-ca60-4bd8-bc11-b0b4345d3a0b","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 8 - D4 Kitchen (APL Residential TH+)","Assembly"
"db04e6db-0eb7-4e3e-9f54-e97b02ec1a73","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - D4 Kitchen (APL Residential TH+)","Glazing & Pre-Delivery"
"18f7e7bc-96f3-4e73-a133-900d5f8036fa","","not-started","","folder","TRUE","FALSE","Project QA","Item 9 - D5 Dining (APL Residential TH+)"
"124c0b30-6332-473b-940a-579f728c1703","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 9 - D5 Dining (APL Residential TH+)","Assembly"
"283194d9-e106-4910-b670-3dc052c8c1d1","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - D5 Dining (APL Residential TH+)","Glazing & Pre-Delivery"
"c1a2bba6-8bda-443e-9c6f-13e2e29b2515","","not-started","","folder","TRUE","FALSE","Project QA","Item 10 - W5 Living (APL Residential TH+)"
"025145d9-488d-407a-8b03-95a31c97ea0b","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 10 - W5 Living (APL Residential TH+)","Assembly"
"80b31992-ed5a-4cd2-87fa-0a8788155bc8","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - W5 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"d6bc39cf-96e2-4a74-9b8d-f15fae040828","","not-started","","folder","TRUE","FALSE","Project QA","Item 11 - W6 Living (APL Residential TH+)"
"163ebc48-68e9-4c48-9ef2-25513b9bec35","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 11 - W6 Living (APL Residential TH+)","Assembly"
"1fd6b7ab-6a1a-48a6-bcaa-c55f3ee58a21","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - W6 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"b7eec190-7d06-4230-8f75-6e10b2999189","","not-started","","folder","TRUE","FALSE","Project QA","Item 12 - W7 Living (APL Residential TH+)"
"01f7b038-30cc-4713-88d0-683cf52a3f85","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 12 - W7 Living (APL Residential TH+)","Assembly"
