"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6c2b6eee-8659-499b-aab2-a676a93ae7d7","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"4eb2ad51-6f56-45b6-b15f-9a1b0f864480","","not-started","","folder","TRUE","FALSE","Project QA"
"56c40cdd-c094-4161-83a9-1477c3e210a2","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - Kitchen Sliding Window (APL Architectural TH+)"
"2cc38367-7d76-4c46-b0b1-4814c8ac9578","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Kitchen Sliding Window (APL Architectural TH+)","Assembly"
"e90c91ab-9db8-4f0a-81c6-4efd9c03d80a","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Kitchen Sliding Window (APL Architectural TH+)","Glazing & Pre-Delivery"
