"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a0336287-f542-46ad-b1ce-cc9b277f4f69","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"10b72e23-e862-4665-841c-333422f11b62","","not-started","","folder","TRUE","FALSE","Project QA"
"9a863d64-cca3-4b17-824d-4af36e68cd05","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - Bed ( APL Standard Residential Series )"
"39be9b3b-9459-4433-930f-3609abc415ee","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - Bed ( APL Standard Residential Series )","Assembly"
"cf1f0980-e991-4abd-951c-bdee6ec393d0","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - Bed ( APL Standard Residential Series )","Glazing & Pre-Delivery"
"c6e949a1-03b8-42d8-9a18-14be5c85d034","","not-started","","folder","TRUE","FALSE","Project QA","Item 2 - Bed ( APL Standard Residential Series )"
"e5ae23cd-52ad-4e24-a903-2ceefa52af8f","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - Bed ( APL Standard Residential Series )","Assembly"
"4103ab84-2495-4d88-96d6-018bc60583ec","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - Bed ( APL Standard Residential Series )","Glazing & Pre-Delivery"
"369d7435-7028-400d-971a-64a21f63c482","","not-started","","folder","TRUE","FALSE","Project QA","Item 3 - Kitchen ( APL Standard Residential Series )"
"20964820-88a5-4eae-9abd-a06d8afe80b5","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - Kitchen ( APL Standard Residential Series )","Assembly"
"e5f8e553-9a46-4561-bc51-95e08d9f59de","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - Kitchen ( APL Standard Residential Series )","Glazing & Pre-Delivery"
