"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b3c88a0a-b151-463a-aba5-2b0aeffa1c7d","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"948acca4-06c3-4be7-87e9-bc8d27f60bc3","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"13ae3ede-8e8e-4b27-9342-96a3dba59d20","","pass","","folder","TRUE","FALSE","Project QA","EXT- L3 02/ EXTL3-14 Living (Architectural Series)"
"e1a88e2c-e449-4a63-bf51-e0ce4a7c689e","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","EXT- L3 02/ EXTL3-14 Living (Architectural Series)","Assembly"
"93d4bc25-2156-4c80-b105-34ad7f730993","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","EXT- L3 02/ EXTL3-14 Living (Architectural Series)","Glazing & Pre-Delivery"
"9295705c-2c6e-46b6-82ed-bc895ecba5de","","pass","","folder","TRUE","FALSE","Project QA","EXT-L3 03/ EXTL3-15 Living (Architectural Series)"
"3e3f9a5e-1db7-4d48-ad3d-083ad866811d","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","EXT-L3 03/ EXTL3-15 Living (Architectural Series)","Assembly"
"93b74cdb-c27f-4052-aa1d-d25350a281b6","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","EXT-L3 03/ EXTL3-15 Living (Architectural Series)","Glazing & Pre-Delivery"
"1d789fdb-5b1b-40ad-a938-792a7f267313","","work-in-progress","","folder","TRUE","FALSE","Project QA","EXT-L3 04 Living (Architectural Series)"
"8db9ab33-be23-43dd-b358-7040e148cafd","","work-in-progress","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","EXT-L3 04 Living (Architectural Series)","Assembly"
"1f4aca8b-9d14-4aac-af00-a296fbc5ae61","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","EXT-L3 04 Living (Architectural Series)","Glazing & Pre-Delivery"
"094fdcb0-f4c3-4335-87d8-5691487b9883","","work-in-progress","","folder","TRUE","FALSE","Project QA","EXT-L3-05/06 (Architectural Series)"
"98fd42af-a7fa-42a1-9c9d-de8abe14ec23","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","EXT-L3-05/06 (Architectural Series)","Assembly"
"be9c1984-7969-4958-bde8-fb7c63a86ba7","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","EXT-L3-05/06 (Architectural Series)","Glazing & Pre-Delivery"
