"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"89770851-d1fe-4306-bb4d-3424b614789f","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"5ec668ab-49a3-4e3e-b314-ee65594cd482","","fail","","folder","TRUE","FALSE","Project QA"
"a5fd2582-ac5f-4f77-bafd-ab4548b74dfd","","fail","","folder","TRUE","FALSE","Project QA","E2 Bath (APL Residential TH+)"
"d85c0995-38e5-4055-a805-8a9095fe5804","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E2 Bath (APL Residential TH+)","Assembly"
"fc65571b-b8ea-4165-8ea1-3a66c5fdf9c4","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E2 Bath (APL Residential TH+)","Glazing & Pre-Delivery"
"8555c06d-78bf-43c1-b914-1b13e4cc52ca","","pass","","folder","TRUE","FALSE","Project QA","E3a Laundry (APL Residential TH+)"
"2755cc77-4483-4bb6-801b-e28df2a248b0","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E3a Laundry (APL Residential TH+)","Assembly"
"47a5a587-898f-497b-bc8f-bbe713d3b520","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E3a Laundry (APL Residential TH+)","Glazing & Pre-Delivery"
"395a9740-7ae2-4f96-942f-b7a8756c985a","","pass","","folder","TRUE","FALSE","Project QA","E3b Laundry (APL Residential TH+)"
"9769db31-c07c-45fd-b720-bfeb9b9b5fd5","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E3b Laundry (APL Residential TH+)","Assembly"
"f5edb35d-028d-4307-be8f-f1c7e514e4cc","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E3b Laundry (APL Residential TH+)","Glazing & Pre-Delivery"
"7b49a0a8-5c66-437c-8685-7f04f3362ab4","","pass","","folder","TRUE","FALSE","Project QA","E3c Laundry (APL Residential TH+)"
"8e02380d-d83d-4ce4-86e9-75eb715946e7","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E3c Laundry (APL Residential TH+)","Assembly"
"e4d8e960-24d4-44b0-b18f-46b95fd2c1d2","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E3c Laundry (APL Residential TH+)","Glazing & Pre-Delivery"
"cafd3391-f8ff-4575-9a8d-83c6f72421f3","","pass","","folder","TRUE","FALSE","Project QA","E4 Garage (APL Residential TH+)"
"8488e201-2299-441a-a544-f36f6ceac3e6","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E4 Garage (APL Residential TH+)","Assembly"
"e58d078f-a74e-4baa-b55a-507d8b412c96","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E4 Garage (APL Residential TH+)","Glazing & Pre-Delivery"
"e5453bf1-3f39-407a-9869-fe227bc88aed","","pass","","folder","TRUE","FALSE","Project QA","E6 Rumpus (APL Residential TH+)"
"6bc17b8c-f866-4620-8cac-85e0038c9171","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E6 Rumpus (APL Residential TH+)","Assembly"
"259642f7-ad9c-4e63-8356-71096a463c45","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E6 Rumpus (APL Residential TH+)","Glazing & Pre-Delivery"
"529cf4b3-8a47-4174-a3ec-87cad7bf2767","","pass","","folder","TRUE","FALSE","Project QA","E7 Rumpus (APL Residential TH+)"
"1b84e8a2-82b6-40d1-9fee-3ee46d3925ae","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E7 Rumpus (APL Residential TH+)","Assembly"
"7a856051-8c98-43a2-8508-1ed6bc62694a","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E7 Rumpus (APL Residential TH+)","Glazing & Pre-Delivery"
"bd8ea5b6-ff19-430c-96d1-13a8c0dc3cfa","","pass","","folder","TRUE","FALSE","Project QA","E8 Rumpus (APL Residential TH+)"
"e6f9ea72-1111-4014-9a2f-e71a8647c721","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E8 Rumpus (APL Residential TH+)","Assembly"
"74b7d505-3831-4cd7-8ae5-91fa1f3dc818","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E8 Rumpus (APL Residential TH+)","Glazing & Pre-Delivery"
"d20630de-8ce8-4fa8-adb8-864601fbb452","","pass","","folder","TRUE","FALSE","Project QA","E9 Entry (APL Metro TH+)"
"22b5855d-981b-4c8f-a5e7-1150d7b8f951","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E9 Entry (APL Metro TH+)","Assembly"
"1c52903d-8ab1-40fb-915e-2e0b7d952ffe","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E9 Entry (APL Metro TH+)","Glazing & Pre-Delivery"
"a3fb14b9-6f92-47fe-b10c-d939aad71455","","pass","","folder","TRUE","FALSE","Project QA","E11a Lounge (APL Residential TH+)"
"fdee6548-9aeb-4691-a182-a2120f42d106","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E11a Lounge (APL Residential TH+)","Assembly"
"531948cb-db71-4ea2-b24e-af25fda53e69","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E11a Lounge (APL Residential TH+)","Glazing & Pre-Delivery"
"065f57a3-712b-4c6f-aba7-825cf2f636a2","","pass","","folder","TRUE","FALSE","Project QA","E11b Lounge (APL Residential TH+)"
"6da9b729-83ae-4b25-bdd4-1582ed04c2c6","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E11b Lounge (APL Residential TH+)","Assembly"
"1b32e65c-faec-4f98-8874-b22c896ac2fd","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E11b Lounge (APL Residential TH+)","Glazing & Pre-Delivery"
"24cd7402-0e6b-4b14-8a64-6068291f5583","","pass","","folder","TRUE","FALSE","Project QA","E12 Lounge (APL Residential TH+)"
"fde7fe34-4bb0-4f5d-888c-188a9a46c401","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E12 Lounge (APL Residential TH+)","Assembly"
"2855b9f1-4e79-43af-b1c5-c95a14cc8856","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E12 Lounge (APL Residential TH+)","Glazing & Pre-Delivery"
"3f885efb-bb3c-44de-a36f-ac3eacdb940e","","pass","","folder","TRUE","FALSE","Project QA","E13 Lounge (APL Residential TH+)"
"66dda39b-bbd9-4f38-a23f-8427efb70255","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E13 Lounge (APL Residential TH+)","Assembly"
"b36bfd02-add1-49bb-8dfc-80b42dffe649","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E13 Lounge (APL Residential TH+)","Glazing & Pre-Delivery"
"b61f6842-e0b3-4d5f-adfe-98a84dd41b18","","fail","","folder","TRUE","FALSE","Project QA","E14 Lounge (APL Residential TH+)"
"82c3e84d-5d12-4a49-8dcf-035c46f3080b","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E14 Lounge (APL Residential TH+)","Assembly"
"57ca9f8c-4e22-4acb-9e98-346523df9cad","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E14 Lounge (APL Residential TH+)","Glazing & Pre-Delivery"
"0f18873c-9223-49c0-8cfd-a9ae8355ce40","","pass","","folder","TRUE","FALSE","Project QA","E15 (APL Residential TH+)"
"cb3e1975-5377-4e4b-b458-88793a4745b1","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E15 (APL Residential TH+)","Assembly"
"d2bc41ab-103d-4a75-a38e-0871229212ef","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E15 (APL Residential TH+)","Glazing & Pre-Delivery"
"57665f8c-2c4f-499f-ad00-a9523efb5336","","pass","","folder","TRUE","FALSE","Project QA","E16 (APL Residential TH+)"
"7c67a6a2-0236-4788-9007-50ccf0a12082","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E16 (APL Residential TH+)","Assembly"
"12ef01ca-cf4f-4fc2-b5a6-0e2f75abd1b4","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E16 (APL Residential TH+)","Glazing & Pre-Delivery"
"0157337b-7ca0-4cc9-b3ed-57e016e2c34d","","pass","","folder","TRUE","FALSE","Project QA","E20 Bed 1 (APL Residential TH+)"
"21aa005f-898f-41b2-8813-12431c1c302e","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E20 Bed 1 (APL Residential TH+)","Assembly"
"bbe249af-b702-4c91-b3b3-fd6a1749effb","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E20 Bed 1 (APL Residential TH+)","Glazing & Pre-Delivery"
"f54710ac-e21c-4dc0-b813-fea3a6341f7c","","fail","","folder","TRUE","FALSE","Project QA","E21 Bed 1 (APL Residential TH+)"
"52712225-2dbc-4b92-ab44-15d8ec50ed67","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E21 Bed 1 (APL Residential TH+)","Assembly"
"773c3317-3ed8-4296-a999-7e87cab7475d","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E21 Bed 1 (APL Residential TH+)","Glazing & Pre-Delivery"
"dfebeb83-1130-48bd-aa36-5b4f6b6af8cb","","pass","","folder","TRUE","FALSE","Project QA","E23 Ensuite (APL Residential TH+)"
"8213d904-7d6a-486e-a13d-9686bf76e31d","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E23 Ensuite (APL Residential TH+)","Assembly"
"1da4bacd-609e-453b-908f-c3fa5ee25b8c","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E23 Ensuite (APL Residential TH+)","Glazing & Pre-Delivery"
"8d5af710-b523-4c3a-937b-f348f23c08e8","","pass","","folder","TRUE","FALSE","Project QA","E24a W.I.W. (APL Residential TH+)"
"d63f448a-1966-4cb6-95a2-db6998b347f7","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E24a W.I.W. (APL Residential TH+)","Assembly"
"89697629-bb88-43cc-9c46-161a4c98b141","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E24a W.I.W. (APL Residential TH+)","Glazing & Pre-Delivery"
"f9065b52-c3ac-4313-bc74-f538fe70583b","","pass","","folder","TRUE","FALSE","Project QA","E24b W.I.W. (APL Residential TH+)"
"bec08dcf-3b41-41e1-9e50-b94278ab45b0","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E24b W.I.W. (APL Residential TH+)","Assembly"
"9378ee5b-2699-4a68-9aff-77d94f336106","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E24b W.I.W. (APL Residential TH+)","Glazing & Pre-Delivery"
"2201927f-e773-4d29-aae8-466707ece1f6","","pass","","folder","TRUE","FALSE","Project QA","E25 Office (APL Residential TH+)"
"036fea04-5bf4-4aba-afa5-d532aea08983","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E25 Office (APL Residential TH+)","Assembly"
"2f19aea2-8cdb-4f8b-b88c-ce94d78d4f75","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E25 Office (APL Residential TH+)","Glazing & Pre-Delivery"
"b8f89429-7850-4493-9b69-47ce76a66fa7","","pass","","folder","TRUE","FALSE","Project QA","E26 Bed 2 (APL Residential TH+)"
"0d36a500-eb4b-4d4d-93c7-c798c958f1e5","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E26 Bed 2 (APL Residential TH+)","Assembly"
"43effabb-6def-4c1a-a4f3-eec78fd131ce","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E26 Bed 2 (APL Residential TH+)","Glazing & Pre-Delivery"
"024767e9-30f0-49e4-9b4a-578c8a0503bd","","pass","","folder","TRUE","FALSE","Project QA","E27 Bed 3 (APL Residential TH+)"
"a166e092-2021-468e-bc7a-7f037217ab0a","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","E27 Bed 3 (APL Residential TH+)","Assembly"
"60d77df9-e897-4b59-b1ef-76bb2dc4f3f7","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","E27 Bed 3 (APL Residential TH+)","Glazing & Pre-Delivery"
"5f81743c-98b5-479a-bc67-bd0ca5d379f2","","pass","","folder","TRUE","FALSE","Project QA","E28 Bed 3 (APL Residential TH+)"
