"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"68c1b05c-d404-49ba-86e4-c74eb3175994","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"bfaedf3f-e19d-4889-8f42-9c05824e6cbb","","fail","","folder","TRUE","FALSE","Project QA"
"d0d8bc6b-283d-49a6-800a-1ab4bf2ee946","","pass","","folder","TRUE","FALSE","Project QA","Item 1 - HALL (APL Architectural TH+)"
"83182b83-0855-4c5a-b2a3-ee87a7cea331","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 1 - HALL (APL Architectural TH+)","Assembly"
"f1e447e5-fa61-445a-a9d9-3ae5fbbd1281","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 1 - HALL (APL Architectural TH+)","Glazing & Pre-Delivery"
"768b02cb-8cad-44c1-963d-bf6458fd0599","","pass","","folder","TRUE","FALSE","Project QA","Item 2 - BATHROOM (APL Architectural TH+)"
"77fa3654-77ea-42ea-b6db-bf3edefe47ff","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 2 - BATHROOM (APL Architectural TH+)","Assembly"
"15ae4b64-5e56-49ec-8c9c-c6f3f0e6c2e6","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 2 - BATHROOM (APL Architectural TH+)","Glazing & Pre-Delivery"
"ff1f7761-b48e-4abc-8020-3ab0445462ef","","pass","","folder","TRUE","FALSE","Project QA","Item 3 - TV ROOM (APL Architectural TH+)"
"51e0b74c-9b19-447e-9239-cd3fe83ce9cc","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 3 - TV ROOM (APL Architectural TH+)","Assembly"
"9cd1fe02-85fb-4c0c-ad3a-e76378f9b566","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 3 - TV ROOM (APL Architectural TH+)","Glazing & Pre-Delivery"
"eccd9328-4f3e-40c5-917c-d498d16c3738","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 4 - WORK ROOM (APL Architectural TH+)"
"20442e53-daf5-4eed-9078-d9d2c9a96070","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 4 - WORK ROOM (APL Architectural TH+)","Assembly"
"18e81cf2-e843-4ac1-95f9-2c4a7269bf61","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 4 - WORK ROOM (APL Architectural TH+)","Glazing & Pre-Delivery"
"246b48f2-e159-494f-979d-76e6bcfba526","","pass","","folder","TRUE","FALSE","Project QA","Item 5 - LIVING (APL Architectural TH+)"
"bb8c3c1d-2898-4b2e-9db5-d438d771d3c0","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 5 - LIVING (APL Architectural TH+)","Assembly"
"50f6a184-4821-413a-ab6a-c191d2eda5f4","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - LIVING (APL Architectural TH+)","Glazing & Pre-Delivery"
"2d222380-c520-4682-a116-269b31dd8d58","","pass","","folder","TRUE","FALSE","Project QA","Item 6 - LIVING (APL Architectural TH+)"
"2f9b39b7-66f8-4b9c-a557-cc981a3e5acc","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 6 - LIVING (APL Architectural TH+)","Assembly"
"9e78747d-c02e-4160-9083-9d26bb34e64d","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - LIVING (APL Architectural TH+)","Glazing & Pre-Delivery"
"a61b545f-352c-432c-b5aa-8780617fece3","","pass","","folder","TRUE","FALSE","Project QA","Item 7 - WC (APL Architectural TH+)"
"b6a52954-122f-4de4-880c-cbe7530ed85b","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 7 - WC (APL Architectural TH+)","Assembly"
"631bf790-edd6-4fdf-9d3b-c980426788e8","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - WC (APL Architectural TH+)","Glazing & Pre-Delivery"
"49a5ed33-53c6-4a9c-8827-bc2f0145bdb1","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 8 - NORTH ELEVATION (APL Architectural TH+)"
"fb8c0da7-286d-4947-9895-032d3d8c9e13","","not-applicable","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 8 - NORTH ELEVATION (APL Architectural TH+)","Assembly"
"462f0387-83fc-4c4a-96ae-bbd9ec17a03d","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - NORTH ELEVATION (APL Architectural TH+)","Glazing & Pre-Delivery"
"8c3fcef5-b519-43d9-900b-2aafb452c9ee","","fail","","folder","TRUE","FALSE","Project QA","Item 9 - EAST ELEVATION (APL Architectural TH+)"
"6f3bf5d6-606f-4e94-9432-f4d62a3eb4d2","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 9 - EAST ELEVATION (APL Architectural TH+)","Assembly"
"c8f9a58e-310a-4395-8517-fe3594067597","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - EAST ELEVATION (APL Architectural TH+)","Glazing & Pre-Delivery"
"6a2e437b-c352-40bf-8404-e84758ab2752","","fail","","folder","TRUE","FALSE","Project QA","Item 10 - EAST ELEVATION (APL Architectural TH+)"
"a1f606e4-b385-4cc7-b098-2fd70d6e8050","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 10 - EAST ELEVATION (APL Architectural TH+)","Assembly"
"c34580a6-3abc-4155-ac9c-da7f9acc0d26","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - EAST ELEVATION (APL Architectural TH+)","Glazing & Pre-Delivery"
"f97980b1-864c-455d-9ca8-66d56d98248a","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 11 - SOUTH ELEVATION (APL Architectural TH+)"
"3b06cdde-33c2-4fc7-965f-08eee5c8aaf1","","not-applicable","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 11 - SOUTH ELEVATION (APL Architectural TH+)","Assembly"
"6049dd06-4d1c-415e-bdaa-92c2eb120674","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - SOUTH ELEVATION (APL Architectural TH+)","Glazing & Pre-Delivery"
"37c0b47c-107a-4898-bdd3-7895ea2dc7e4","","fail","","folder","TRUE","FALSE","Project QA","Item 12 - WEST ELEVATION (APL Architectural TH+)"
"828d2104-683d-48dd-a2db-ec2e5647e878","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 12 - WEST ELEVATION (APL Architectural TH+)","Assembly"
"e2a19ac3-a12e-4b93-b619-b06543d6fb3c","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - WEST ELEVATION (APL Architectural TH+)","Glazing & Pre-Delivery"
