"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"26fcea79-2069-4951-a014-3e775d3b359c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"1f862615-ee8b-4b14-bbac-634d0b039ef4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Drop 01"
"b4f821a7-c8ad-4d7d-9080-515af3bfa2d8","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Drop 01","Zone C (Western end)"
"db48e4bb-d793-4eed-ac43-6adb9ae759d6","","checklist-sectioned","pass","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","checklist","FALSE","FALSE","Site QA","Drop 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00"
"49db979b-e91b-4d51-9134-09536ee1b0c1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Drop 01","P160 to P187 (Zone B)"
"e66364a6-0bc4-4f34-af51-be23bb754e80","","checklist-sectioned","work-in-progress","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","checklist","FALSE","FALSE","Site QA","Drop 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation"
"fc287df5-da06-404c-b362-58a0c09fdd6a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Drop 02"
"862e8bed-99ad-4779-953c-97993e2e5978","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Drop 02","P26 to P46 (Zone C-B)"
"a449db7b-1ed0-483a-b891-dc6f4f8ee086","","checklist-sectioned","work-in-progress","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","checklist","FALSE","FALSE","Site QA","Drop 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation"
"d28eab1d-77e2-489d-aab4-a94737a6c0f8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Drop 03"
"882fcf7e-700d-49d8-aabf-116e783c1a11","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Drop 04"
"1fdc9156-7f77-4fe6-8365-e0a70c097fc1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Drop 05"
"c558aaa8-8fcb-43d3-9906-4d929f0f6ee0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Drop 06"
"82f06b15-a5ef-482f-a3c5-e2364c09b12d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Drop 07"
"d55f8ff1-346b-4f2b-9a7a-6dca4261fc32","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Drop 08"
"f5bf265b-672d-4514-988c-03737b45f362","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Drop 09"
"a9d55c00-9e2e-4981-8e36-f0a78f847af7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Drop 10"
"4ea4e7ed-c0b9-4157-8978-ac5b3f29379d","","folder-normal","not-started","","step","TRUE","FALSE","Day Labour "
"1b188f92-6639-404e-97bb-f2368ed2ad8e","","checklist-flat","not-started","Day Labour Authorisation","checklist-flat","FALSE","FALSE","Day Labour ","9.3.23"
