"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc08a4b2-f467-4fa2-b6ee-1f855e811622","","work-in-progress","Tahunanui Back Beach Remediation ITP","checklist","FALSE","FALSE","Tahunanui Back Beach Remediation ITP"
"32c59b34-d20f-5d40-bb79-749eea5f25ed","","work-in-progress","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897","section","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction"
"3579b411-8596-52db-92fa-1d39adc77b2d","","not-started","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:3c08e01a-91cb-4884-bccd-edb54e571e90","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","1.2 - Vegetation Clearance"
"cba29af0-7c95-5279-b2bb-c6622bce3c55","","not-started","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:3c08e01a-91cb-4884-bccd-edb54e571e90:b211afe1-79bb-48b1-a2d2-f2ad471cccbc","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","AUTHORITY HOLDPOINT"
"7dfdad96-ab35-547f-8343-418acbedcd00","","not-started","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:f277cf6d-13f0-40c2-bfe8-b6921703d896","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","1.3 - Ecological Clearance"
"2bef22d0-4256-5a68-b7c3-cf8ab959372c","","not-started","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:df9c82cc-67a5-4ce5-a844-100fb055dc50","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","1.4 - Traffic Management"
"f0c5db67-1600-537b-afa5-43404b6fa400","","not-started","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:df9c82cc-67a5-4ce5-a844-100fb055dc50:8aaaad4d-58d1-4934-9482-9bc3c0d42a7a","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","AUTHORITY HOLDPOINT"
"40e74f45-94ea-5b30-9fff-623ac5d75dc5","","pass","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:533d81b1-c9f7-443b-8222-f66aed32f950","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","1.5 - Service Location and Clearance"
"d3933566-f3a9-500d-9552-608dcaa9b816","","pass","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:533d81b1-c9f7-443b-8222-f66aed32f950:791aba10-d72f-4c8e-b03f-f0094338a185","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","AUTHORITY HOLDPOINT"
"f6873f03-2269-5dd7-b810-3658a250fcf9","","not-started","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:2b74fc7b-fca0-435f-b0b5-c933a3b8dd52","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","1.6 - Survey and Set out"
"1a994421-8747-5298-a4bf-30e631f2c066","","not-started","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:2b74fc7b-fca0-435f-b0b5-c933a3b8dd52:a52be2df-4a8a-4fa0-b650-58fc6bed09c1","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","AUTHORITY HOLDPOINT"
"ca19bcae-30c8-5dcc-aa1a-9c570f023da2","","not-started","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897:e941409b-b480-4b05-9876-3a8f20aba838","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction","1.7 - Equipment Free of Contamination"
