type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Balustrade,,,,,,Balustrade Checklist
checkpoint,Previous substrate acceptable,,,,,,
checkpoint,Pin/Install posts & panels,,,,,,
checkpoint,Ensure panels are plumb & installed to specification,,,,,,
checkpoint,"General photos, comments & observations during installation (Add below)",,,,,,
checkpoint,Balustrading Install completed to specification,,,,,,
checkpoint,Glass installed,,,,,,
label,FINAL - Pass when happy to proceed with work(s) (Any issues please comment below),,,,,,
,,,,,,,
checklist-flat,Fence Panels,,,,,,Fence Panels Checklist
checkpoint,Fence is measured up per specifications,,,,,,
checkpoint,Fence installed as per specifications,,,,,,
label,FINAL - Pass when happy to proceed with work(s) (Any issues please comment below),,,,,,
,,,,,,,
checklist-flat,Louvres,,,,,,Louvres Checklist
checkpoint,Louvres is measured up per specifications,,,,,,
checkpoint,Louvers installed as per specifications,,,,,,
label,FINAL - Pass when happy to proceed with work(s) (Any issues please comment below),,,,,,
,,,,,,,
checklist-flat,Grab Rail,,,,,,Grab Rail Checklist
checkpoint,Grab rail is measured up per specifications,,,,,,
checkpoint,Grab rail installed as per specifications,,,,,,
label,FINAL - Pass when happy to proceed with work(s) (Any issues please comment below),,,,,,
