resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,
,step,,,02-00-00 - Power Island 2,,,,,,,,,,,,
,step,,,,02-01-00 Gas Turbine,,,,,,,,,,,
,step,,,,,02-01-01 Gas Turbine,,,,,,,,,,
,step,,,,,02-01-02 Fuel Oil System,,,,,,,,,,
,step,,,,,02-01-03 Fuel Gas System,,,,,,,,,,
,step,,,,,02-01-04 Turbine Cooling Air System,,,,,,,,,,
,step,,,,,02-01-10 Lube Oil System,,,,,,,,,,
,step,,,,,40910 GT CO2 Fire Fighting,,,,,,,,,,
,step,,,,,02-01-16 MHI Control Room,,,,,,,,,,
,step,,,,02-02-00 GT Generator,,,,,,,,,,,
,step,,,,,02-02-05 SFC Package,,,,,,,,,,
,step,,,,,02-02-07 Rotor Removal Apparatus,,,,,,,,,,
,step,,,,02-03-00 Exhaust System,,,,,,,,,,,
,step,,,,,02-03-01 Exhaust Duct,,,,,,,,,,
,step,,,,,02-03-02 Exhaust Stack,,,,,,,,,,
,step,,,,02-04-00 Inlet Air System,,,,,,,,,,,
,step,,,,,02-04-04 Inlet Air System Enclosure,,,,,,,,,,
,step,,,,02-05-00 Fin Fan Coolers,,,,,,,,,,,
,step,,,,,02-05-01 Fin Fan Cooler,,,,,,,,,,
,step,,,,02-06-00 Transformers,,,,,,,,,,,
,step,,,,,02-06-02 GSUT Transformer,,,,,,,,,,
,step,,,,,02-06-04 GSUT Neutral Grounding Reactor,,,,,,,,,,
,step,,,,,02-06-06 SFC Transformer,,,,,,,,,,
,step,,,,,02-06-07 Auxiliary Transformer,,,,,,,,,,
,step,,,,02-07-00 Electrical Control Packages,,,,,,,,,,,
,step,,,,,02-07-01 Generator Circuit Breaker ,,,,,,,,,,
,step,,,,,02-07-04 6.6kV Switchroom ,,,,,,,,,,
,step,,,,,02-07-05 Unit Auxiliary Switchroom,,,,,,,,,,
,step,,,,02-08-00 Interconnecting Pipework & Cabling,,,,,,,,,,,
,step,,,,,02-08-01 Interconnecting Pipework,,,,,,,,,,
,step,,,03-00-00 - Balance of Plant,,,,,,,,,,,,
,step,,,,03-01-00 Fire System,,,,,,,,,,,
,step,,,,,03-01-01 Tanks,,,,,,,,,,
,step,,,,,03-01-02 Pumps,,,,,,,,,,
,step,,,,,03-01-03 Ring Main & Hydrants,,,,,,,,,,
,step,,,,03-02-00 Diesel System,,,,,,,,,,,
,step,,,,,03-02-01 Tanks,,,,,,,,,,
,step,,,,,03-02-02 Diesel Unloading Pumps,,,,,,,,,,
,step,,,,,03-02-03 Diesel Forwarding Pumps,,,,,,,,,,
,step,,,,03-03-00 Demin System,,,,,,,,,,,
,step,,,,,03-03-01 Tanks,,,,,,,,,,
,step,,,,,03-03-02 Pump,,,,,,,,,,
,step,,,,,03-03-03 Plant,,,,,,,,,,
,step,,,,03-04-00 Service Water System,,,,,,,,,,,
,step,,,,,03-04-01 Tanks,,,,,,,,,,
,step,,,,03-05-00 Plant & Instrument Air,,,,,,,,,,,
,step,,,,,"03-05-01 Plant - Instrument Air Container, Vertical Fuel tank etc",,,,,,,,,,
,step,,,,03-06-00 Electrical Infrastructure,,,,,,,,,,,
,step,,,,,03-06-02 LV Switchrooms,,,,,,,,,,
,step,,,,,03-06-04 Aux Transformers,,,,,,,,,,
,step,,,,03-07-00 Electrical Services,,,,,,,,,,,
,step,,,,,03-07-01 Power,,,,,,,,,,
,step,,,,,03-07-02 Communications,,,,,,,,,,
,step,,,,,03-07-04 Lighting,,,,,,,,,,
,step,,,,03-08-00 Emergency Generator,,,,,,,,,,,
,step,,,,,03-08-01 Emergency Generator,,,,,,,,,,
,step,,,,03-09-00 H2 Storage,,,,,,,,,,,
,step,,,,,03-09-02 H2 Vent Stack,,,,,,,,,,
,step,,,04-00-00 - Civil Infrastructure,,,,,,,,,,,,
,step,,,,04-02-00 Site Improvement,,,,,,,,,,,
,step,,,,,04-02-01 Building Pad,,,,,,,,,,
,step,,,,04-03-00 Roads & Pavements,,,,,,,,,,,
,step,,,,,04-03-01 Roads,,,,,,,,,,
,step,,,,,04-03-02 Hardstands,,,,,,,,,,
,step,,,,04-04-00 Earthing Grid,,,,,,,,,,,
,step,,,,,04-04-01 Earthing Grid,,,,,,,,,,
,step,,,,04-05-00 Stormwater,,,,,,,,,,,
,step,,,,,04-05-01 Stormwater System,,,,,,,,,,
,step,,,,,04-05-02 Outfall,,,,,,,,,,
,step,,,,04-06-00 Sewer & Water,,,,,,,,,,,
,step,,,,,04-06-01 Sewer System,,,,,,,,,,
,step,,,,,04-06-02 Potable Water System,,,,,,,,,,
,step,,,,04-07-00 Trade Waste,,,,,,,,,,,
,step,,,,,04-07-01 Trade Waste System,,,,,,,,,,
,step,,,,,04-07-02 Neutralisation Pit,,,,,,,,,,
,step,,,,04-08-00 Oily Water,,,,,,,,,,,
,step,,,,,04-08-01 Oily Water System,,,,,,,,,,
,step,,,,,04-08-02 Interceptor Pit,,,,,,,,,,
,step,,,,04-09-00 Fencing,,,,,,,,,,,
,step,,,,,04-09-01 Fencing,,,,,,,,,,
,step,,,,,04-09-02 Gates,,,,,,,,,,
,step,,,,04-10-00 Common Pipe Trench,,,,,,,,,,,
,step,,,,,04-10-01 Common Pipe Trench,,,,,,,,,,
,step,,,05-00-00 - Switchyard,,,,,,,,,,,,
,step,,,,05-01-00 Power Transmission,,,,,,,,,,,
,step,,,,,05-01-01 HV Gantry,,,,,,,,,,
,step,,,,,05-01-02 Transmission Lines,,,,,,,,,,
,step,,,,,05-01-03 HV Equipment,,,,,,,,,,
,step,,,,05-02-00 Protection Switchyard Room,,,,,,,,,,,
,step,,,,,05-02-01 Protection Switchyard Room,,,,,,,,,,
