Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
"KA-FRM-076 - CFA, CSP and Displacement Pile Record",,,,,
,Scope,,,Site QA,"CFA, CSP and Displacement Pile Record"
,Rows,,,,
,,"CFA, CSP and Displacement Pile Record",dynamic,"CFA, CSP and Displacement Pile Record",Site QA
,Columns,,,,
,,Same Info for Every Pile - Dia. (mm),Dia. (mm),same info for every pile,
,,Same Info for Every Pile - Platform Level (RLm),Platform Level (RLm),same info for every pile,
,,Same Info for Every Pile - Conc. Grade (MPa),Conc. Grade (MPa),same info for every pile,
,,Pile 1 - Pile Complete,,pile complete,pile 1
,,Pile 1 - Pile ID,Pile ID,pile complete,pile 1
,,Pile 1 - Dia. (mm),Dia. (mm),pile complete,pile 1
,,Pile 1 - Platform Level (RLm),Platform Level (RLm),pile complete,pile 1
,,Pile 1 - Conc. Grade (MPa),Conc. Grade (MPa),pile complete,pile 1
,,Pile 1 - Drill Depth (m),Drill Depth (m),pile complete,pile 1
,,Pile 1 - Socket Length (m),Socket Length (m),pile complete,pile 1
,,Pile 1 - Top of Concrete (RL m),Top of Concrete (RL m),pile complete,pile 1
,,Pile 1 - Concrete Volume (m3),Concrete Volume (m3),pile complete,pile 1
,,Pile 1 - Cage Type,Cage Type,pile complete,pile 1
,,Pile 1 - Top of Cage (RL m),Top of Cage (RL m),pile complete,pile 1
,,Pile 2 - Pile Complete,,pile complete,pile 2
,,Pile 2 - Pile ID,Pile ID,pile complete,pile 2
,,Pile 2 - Dia. (mm),Dia. (mm),pile complete,pile 2
,,Pile 2 - Platform Level (RLm),Platform Level (RLm),pile complete,pile 2
,,Pile 2 - Conc. Grade (MPa),Conc. Grade (MPa),pile complete,pile 2
,,Pile 2 - Drill Depth (m),Drill Depth (m),pile complete,pile 2
,,Pile 2 - Socket Length (m),Socket Length (m),pile complete,pile 2
,,Pile 2 - Top of Concrete (RL m),Top of Concrete (RL m),pile complete,pile 2
,,Pile 2 - Concrete Volume (m3),Concrete Volume (m3),pile complete,pile 2
,,Pile 2 - Cage Type,Cage Type,pile complete,pile 2
,,Pile 2 - Top of Cage (RL m),Top of Cage (RL m),pile complete,pile 2
,,Pile 3 - Pile Complete,,pile complete,pile 3
,,Pile 3 - Pile ID,Pile ID,pile complete,pile 3
,,Pile 3 - Dia. (mm),Dia. (mm),pile complete,pile 3
,,Pile 3 - Platform Level (RLm),Platform Level (RLm),pile complete,pile 3
,,Pile 3 - Conc. Grade (MPa),Conc. Grade (MPa),pile complete,pile 3
,,Pile 3 - Drill Depth (m),Drill Depth (m),pile complete,pile 3
,,Pile 3 - Socket Length (m),Socket Length (m),pile complete,pile 3
,,Pile 3 - Top of Concrete (RL m),Top of Concrete (RL m),pile complete,pile 3
,,Pile 3 - Concrete Volume (m3),Concrete Volume (m3),pile complete,pile 3
,,Pile 3 - Cage Type,Cage Type,pile complete,pile 3
,,Pile 3 - Top of Cage (RL m),Top of Cage (RL m),pile complete,pile 3
,,Pile 4 - Pile Complete,,pile complete,pile 4
,,Pile 4 - Pile ID,Pile ID,pile complete,pile 4
