"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b148b904-9ce0-4650-81db-ca052d2d6cb9","","folder-normal","work-in-progress","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"4e680595-3bcf-453a-a93e-5e66029d20e5","","folder-normal","work-in-progress","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/1"
"1b8d230e-019c-45c2-949f-515e5a2f581f","","checklist-sectioned","work-in-progress","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/1","Pre-Pour Checklist 1"
"5a0a726a-312d-4ccd-8961-8acb98625c6b","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/1","Concrete Delivery Checklist"
"717a1e94-c189-49a9-bea8-9dbea385687e","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/2"
"df5e4770-ed12-4272-883a-e653617c7486","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/2","Pre-Pour Checklist 1"
"1b152aaa-84e7-4203-9074-625b2c52841d","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/2","Concrete Delivery Checklist"
"59d3432b-3f83-4f21-be06-5f1a877e486b","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/2","Concrete Delivery Checklist"
"dc73afda-54d1-4410-93bc-69395726cb55","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/3"
"c80a8211-c82e-450b-9e27-2558fbbd6519","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/3","Pre-Pour Checklist 1"
"ff4d8bd2-a04a-44f7-b9c2-f01b44996fd0","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/3","Concrete Delivery Checklist"
"dbd202ce-8078-4ca6-adea-1dd5534a803a","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/3","Concrete Delivery Checklist"
