"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b94515bf-132a-474d-ba21-b4d3e9284bf9","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off"
"a612b0ac-49da-4320-9672-0300e93a6961","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A"
"3f38383e-7ab6-44e4-91aa-491dec17085d","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1"
"d8bd945c-4168-4b90-a825-6e20192ed091","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B109)"
"8c609da8-6220-43e1-bca1-cab8cf0adeaa","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B109)","B1.A.209.D1 - Carpark Plenum"
"41820134-a077-410f-8cd5-5c990c6a4089","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B109)","B1.A.209.D1 - Carpark Plenum","Reed switch - 4 core (14/0.20) [B1-A-209-D1-RS]"
"caa8d1ba-486e-4dee-a8ca-2b6ae41caec5","","checklist-sectioned","","Rough In / Fit Off Checklist","checklist","FALSE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B109)","B1.A.209.D1 - Carpark Plenum","Reed switch - 4 core (14/0.20) [B1-A-209-D1-RS]","Rough In / Fit Off Checklist"
"f4c5ef8b-eb07-453b-9ad6-0653e71adb7f","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B109)","B1.A.238.D2 - Water Plant"
"d42f374e-0bbd-4e23-a2a2-231faf8889d2","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B109)","B1.A.238.D2 - Water Plant","2x Reed switch - 4 core (14/0.20) [B1-A-238-D2-RS]"
"8ecb0e58-3155-4856-a3ea-d9ccdf8c542a","","checklist-sectioned","","Rough In / Fit Off Checklist","checklist","FALSE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B109)","B1.A.238.D2 - Water Plant","2x Reed switch - 4 core (14/0.20) [B1-A-238-D2-RS]","Rough In / Fit Off Checklist"
"01b1b0f0-7fb7-442e-bbff-5eed4df38580","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B110)"
"99975883-327c-4713-98d8-df875f804666","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B110)","B1.A.183.D1 - Circulation"
"fff2173f-0eef-4974-8bcc-8e36baaa5222","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B110)","B1.A.183.D1 - Circulation","Reader - RS485 Twisted Shielded Pair (4core) [B1-A-183-D1-CR]"
"06b163ec-1c10-4e9a-aaf6-e297c0153f0b","","checklist-sectioned","","Rough In / Fit Off Checklist","checklist","FALSE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B110)","B1.A.183.D1 - Circulation","Reader - RS485 Twisted Shielded Pair (4core) [B1-A-183-D1-CR]","Rough In / Fit Off Checklist"
"d95f1439-6b0e-4685-b734-b458c3de6c36","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B110)","B1.A.238.D1 - Water Plant"
"682a12ed-a5af-4ae5-8ebb-f646ebddf91a","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B110)","B1.A.238.D1 - Water Plant","2x reed switch - 4 core (14/0.20) [B1-A-238-D1-RS]"
"55c67a88-3e92-49f4-9988-4555ac3f0f2b","","checklist-sectioned","","Rough In / Fit Off Checklist","checklist","FALSE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B110)","B1.A.238.D1 - Water Plant","2x reed switch - 4 core (14/0.20) [B1-A-238-D1-RS]","Rough In / Fit Off Checklist"
"8c8f169a-db85-4c20-a7c0-e847ca69e617","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B110)","B1.A.184.D1 - Waste Room"
"865039cc-ccb5-4006-a9b7-97df186c0f6c","","folder-normal","","","step","TRUE","FALSE","Rough In / Fit Off","Building A","B1","B1.A.230 (2B110)","B1.A.184.D1 - Waste Room","HD Reed switch - 4 core (14/0.20) [B1-A-184-D1-RH]"
