"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bbd34046-2dfa-4650-87e8-8253dc55dd76","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"88ee9eb8-5438-488b-84c3-81c42483686a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Slabs & Columns"
"5fad0f00-b622-40d2-84be-94fac81c1747","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Ground Level"
"7ee264e6-3bf3-411f-801d-e23bc13704aa","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Ground Level","South"
"5049c9e7-1d84-446a-9425-2bfc44c1cc9d","","checklist-flat","not-started","Columns - Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Ground Level","South","Columns"
"bf6a78fe-fc63-4ab3-b92d-8a2424af9bd1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Ground Level","South","Slab"
"e615f8e4-22d7-4231-b0ae-6e0abea7e1e5","","checklist-flat","not-started","Slab - Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Ground Level","South","Slab","Hydraulic Services"
"a3911035-075e-4f02-b1a7-4aab63be1804","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Ground Level","West"
"a947b0b1-8ee8-4a20-a53d-796a5c0b6810","","checklist-flat","not-started","Columns - Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Ground Level","West","Columns"
"e00f0951-3420-4171-8f36-674a5b4c30a7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Ground Level","West","Slab"
"efabe3de-6df8-417a-a239-917da52cd109","","checklist-flat","not-started","Slab - Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Ground Level","West","Slab","Hydraulic Services"
"1c5bea49-f675-4f38-8d33-67f26a18a84d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Ground Level","North"
"6f690d1a-7b88-4c12-b462-60f962f5b20c","","checklist-flat","not-started","Columns - Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Ground Level","North","Columns"
"510bfad3-4438-4b17-af88-5497d2daab50","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Ground Level","North","Slab"
"dca7cd50-7c01-4dc1-8a4b-60b8deee4a06","","checklist-flat","not-started","Slab - Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Ground Level","North","Slab","Hydraulic Services"
"b422691f-0467-4d62-a746-ebfb0a682fa2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 1"
"965a9e83-cbe4-45de-9f5f-f31a7f18a3b7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 1","South"
"e6c0cd5e-d4bc-45a3-8e11-0e1d67ef5166","","checklist-flat","not-started","Columns - Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Level 1","South","Columns"
"8fab2274-1c72-4193-96de-3e450da67ee1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 1","South","Slab"
"75c1dcae-2db9-4bb3-b26b-1c6166511e7f","","checklist-flat","not-started","Slab - Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Level 1","South","Slab","Hydraulic Services"
"cff4001b-1610-4e90-9038-1c24015a20d1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 1","West"
