Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,,
a903196a-3d18-4c46-98ed-cdbd32ff4282,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,FOYER (1012),Pre Nail Framing Checklist,Details,LVL beam connections
5225f680-60f3-40e2-857a-5cc1d8a3d2a6,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,ACTIVITIES AREA 1 (1013),Pre Nail Framing Checklist,Details,LVL beam connections
1f10f72d-9928-4dbe-8a01-5d33d6182f3d,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,STORE (1015),Pre Nail Framing Checklist,Details,LVL beam connections
0fb63bba-d8f3-44ca-b073-1007f13b64b3,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,MEMORY CARE LEAD (1016),Pre nail framing Checklist,Details,LVL beam connections
23323b99-7497-4f73-8d71-9495917958fe,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,WCH/HOIST 1 (1017),Pre Nail Framing Checklist,Details,LVL beam connections
eab4c3fb-76fa-4414-ae99-36a671ed2d9a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,CORRIDOR (1018),Pre Nail Framing Checklist,Details,LVL beam connections
23766be2-85fc-476f-9648-f9f7fe052f04,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,MC2 (007),Pre Nail Framing Checklist,Details,LVL beam connections
c48ca5cf-1704-4cf9-99a6-dd80d130547b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,MC1 (008),Pre Nail Framing Checklist,Details,LVL beam connections
3e7c2673-42d7-44ea-9088-e7e5243ba78f,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,MC4 (009),Pre Nail Framing Checklist,Details,LVL beam connections
d27f7b86-484d-4c3d-bdf9-f0054ed0e88a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,MC2 (010),Pre Nail Framing Checklist,Details,LVL beam connections
397e51d7-321d-4388-9ba1-d377bbce213a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,MC3 (011),Pre Nail Framing Checklist,Details,LVL beam connections
e52b80db-2f14-41f3-ba90-26ac8df21cf5,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1C ,MC2 (012),Pre Nail Framing Checklist,Details,LVL beam connections
1a9b243e-48b6-4bca-8cf7-f03a42289fec,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,CORRIDOR (1006),Pre Nail Framing Checklist,Details,LVL beam connections
e7607d73-a264-4671-b0e4-009947205d4c,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,CLEANERS 1 (1007),Pre Nail Framing Checklist,Details,LVL beam connections
c7469cb7-d994-4295-a85d-e2b9b3a9fa33,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,ACC. WC 2 (1008),Pre Nail Framing Checklist,Details,LVL beam connections
