Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,,
512c1e4d-dfbd-4703-bd22-cfbc05722362,,not-started,,checkpoint,TRUE,TRUE,Site QA,Pre nail framing Checklist (Sample) ,Details,Frame to steel connections,,,,
59ee298b-515c-49bc-a589-d8ce81a712ef,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,Pre nail framing Checklist,Details,Frame to steel connections,
1d4b5729-ef95-4d8b-9012-5d42ea924c48,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 2 (016) ,Pre-Nail Framing Checklist,Details,Frame to steel connections
17d6d440-d221-4778-b3d0-f3e3d802d238,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 2 (017) ,Pre Nail Framing Checklist,Details,Frame to steel connections
5d9b5836-e102-43eb-9bdf-f10efc4a2562,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 1 (015) ,Pre Nail Framing Checklist,Details,Frame to steel connections
38da43d8-cba8-49bd-9966-33c2018ae0fc,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,ST1 (1022) ,Pre Nail Framing Checklist,Details,Frame to steel connections
46896884-5092-4384-8674-31d432ece3ae,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 2 (014) ,Pre Nail Framing Checklist,Details,Frame to steel connections
961fc26d-a1b3-40a5-89b3-2d443561dbab,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A, DRUGS RM 1 (1021) ,Pre Nail Framing Checklist,Details,Frame to steel connections
d901a8b2-d6e3-4118-a642-f6fce0445b76,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,MC 4 (013) ,Pre Nail Framing Checklist,Details,Frame to steel connections
852856d0-ebed-4539-b9bb-88b905660b91,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1A,ACTIVITES STORE (1023) ,Pre Nail Framing Checklist,Details,Frame to steel connections
