"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"135d10a0-1214-4b10-a740-55b928395edc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"b2c45c15-39dd-4c98-9bdd-5458129358b5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Block A"
"09f56281-94e9-4c1b-88d2-8f60322dd8af","","checklist-flat","work-in-progress","0ed07d549cd93652cb8def64700ee530a1a8df07315d658882c3fd7152f3e2f4","checklist-flat","FALSE","FALSE","Site QA","Block A","Level 8"
"a94dd8a6-7363-45f0-89e2-d5d8be68b3ec","","checklist-flat","work-in-progress","0ed07d549cd93652cb8def64700ee530a1a8df07315d658882c3fd7152f3e2f4","checklist-flat","FALSE","FALSE","Site QA","Block A","Level 9"
"81496b92-20a1-4b4c-b932-1b93b4e3dd6b","","checklist-flat","work-in-progress","0ed07d549cd93652cb8def64700ee530a1a8df07315d658882c3fd7152f3e2f4","checklist-flat","FALSE","FALSE","Site QA","Block A","Level 10"
"66f5ca05-fcaa-4ffd-9f83-8ea9c146d376","","checklist-flat","work-in-progress","0ed07d549cd93652cb8def64700ee530a1a8df07315d658882c3fd7152f3e2f4","checklist-flat","FALSE","FALSE","Site QA","Block B"
