Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Doors & Frames - Overall Progress (Building 6),,,,,,,,,,
,Scope,,,Doors & Frames,,,,,,
,Rows,,,,,,,,,
,,Basement,dynamic,Basement,Building 6,Doors & Frames,Site QA,,,
,,Ground Floor - Common Areas,dynamic,Common Areas,Ground Floor,Building 6,Doors & Frames,Site QA,,
,,Level 1 - Common Areas,dynamic,Common Areas,Level 1,Building 6,Doors & Frames,Site QA,,
,,Level 1 - 6.101,grouping,Level 1 - 6.101,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.101,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.101,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.102,grouping,Level 1 - 6.102,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.102,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.102,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.103,grouping,Level 1 - 6.103,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.103,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.103,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.104,grouping,Level 1 - 6.104,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.104,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.104,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.105,grouping,Level 1 - 6.105,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.105,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.105,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.106,grouping,Level 1 - 6.106,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.106,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.106,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.107,grouping,Level 1 - 6.107,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.107,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.107,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.108,grouping,Level 1 - 6.108,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.108,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.108,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.109,grouping,Level 1 - 6.109,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.109,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.109,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.110,grouping,Level 1 - 6.110,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.110,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.110,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.111,grouping,Level 1 - 6.111,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.111,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.111,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.112,grouping,Level 1 - 6.112,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.112,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.112,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.113,grouping,Level 1 - 6.113,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.113,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.113,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.114,grouping,Level 1 - 6.114,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.114,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.114,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.115,grouping,Level 1 - 6.115,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.115,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.115,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.116,grouping,Level 1 - 6.116,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.116,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.116,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.117,grouping,Level 1 - 6.117,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.117,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.117,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.118,grouping,Level 1 - 6.118,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.118,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.118,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.119,grouping,Level 1 - 6.119,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.119,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.119,Level 1,Building 6,Doors & Frames,Site QA
,,Level 1 - 6.120,grouping,Level 1 - 6.120,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.120,Level 1,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.120,Level 1,Building 6,Doors & Frames,Site QA
,,Level 2 - Common Areas,dynamic,Common Areas,Level 2,Building 6,Doors & Frames,Site QA,,
,,Level 2 - 6.201,grouping,Level 2 - 6.201,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.201,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.201,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.202,grouping,Level 2 - 6.202,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.202,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.202,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.203,grouping,Level 2 - 6.203,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.203,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.203,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.204,grouping,Level 2 - 6.204,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.204,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.204,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.205,grouping,Level 2 - 6.205,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.205,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.205,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.206,grouping,Level 2 - 6.206,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.206,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.206,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.207,grouping,Level 2 - 6.207,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.207,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.207,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.208,grouping,Level 2 - 6.208,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.208,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.208,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.209,grouping,Level 2 - 6.209,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.209,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.209,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.210,grouping,Level 2 - 6.210,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.210,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.210,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.211,grouping,Level 2 - 6.211,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.211,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.211,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.212,grouping,Level 2 - 6.212,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.212,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.212,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.213,grouping,Level 2 - 6.213,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.213,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.213,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.214,grouping,Level 2 - 6.214,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.214,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.214,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.215,grouping,Level 2 - 6.215,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.215,Level 2,Building 6,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,6.215,Level 2,Building 6,Doors & Frames,Site QA
,,Level 2 - 6.216,grouping,Level 2 - 6.216,,,,,,
,,Entry,expanded,Door & Frames,Entry,6.216,Level 2,Building 6,Doors & Frames,Site QA
