Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Doors & Frames - Overall Progress (Building 5),,,,,,,,,,
,Scope,,,Doors & Frames,,,,,,
,Rows,,,,,,,,,
,,Basement,dynamic,Basement,Building 5,Doors & Frames,Site QA,,,
,,Ground Floor - Common Areas,dynamic,Common Areas,Ground Floor,Building 5,Doors & Frames,Site QA,,
,,Ground Floor - 5.G01,grouping,Ground Floor - 5.G01,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.G01,Ground Floor,Building 5,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,5.G01,Ground Floor,Building 5,Doors & Frames,Site QA
,,Ground Floor - 5.G02,grouping,Ground Floor - 5.G02,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.G02,Ground Floor,Building 5,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,5.G02,Ground Floor,Building 5,Doors & Frames,Site QA
,,Ground Floor - 5.G03,grouping,Ground Floor - 5.G03,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.G03,Ground Floor,Building 5,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,5.G03,Ground Floor,Building 5,Doors & Frames,Site QA
,,Ground Floor - 5.G04,grouping,Ground Floor - 5.G04,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.G04,Ground Floor,Building 5,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,5.G04,Ground Floor,Building 5,Doors & Frames,Site QA
,,Ground Floor - 5.G05,grouping,Ground Floor - 5.G05,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.G05,Ground Floor,Building 5,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,5.G05,Ground Floor,Building 5,Doors & Frames,Site QA
,,Ground Floor - 5.G06,grouping,Ground Floor - 5.G06,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.G06,Ground Floor,Building 5,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,5.G06,Ground Floor,Building 5,Doors & Frames,Site QA
,,Ground Floor - 5.G07,grouping,Ground Floor - 5.G07,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.G07,Ground Floor,Building 5,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,5.G07,Ground Floor,Building 5,Doors & Frames,Site QA
,,Ground Floor - 5.G08,grouping,Ground Floor - 5.G08,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.G08,Ground Floor,Building 5,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,5.G08,Ground Floor,Building 5,Doors & Frames,Site QA
,,Level 1 - Common Areas,dynamic,Common Areas,Level 1,Building 5,Doors & Frames,Site QA,,
,,Level 1 - 5.101,grouping,Level 1 - 5.101,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.101,Level 1,Building 5,Doors & Frames,Site QA
,,Internals,expanded,Door & Frames,Internals,5.101,Level 1,Building 5,Doors & Frames,Site QA
,,Level 1 - 5.102,grouping,Level 1 - 5.102,,,,,,
,,Entry,expanded,Door & Frames,Entry,5.102,Level 1,Building 5,Doors & Frames,Site QA
