Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Precast Elements,grouping,Precast Elements,
,,L40-TC126,,L40-TC126,Precast Elements
,,L40-TC127,,L40-TC127,Precast Elements
,,L40-TC128,,L40-TC128,Precast Elements
,,L40-TC129,,L40-TC129,Precast Elements
,,L40-TC130,,L40-TC130,Precast Elements
,,L22-TF211,,L22-TF211,Precast Elements
,,L24-TF211,,L24-TF211,Precast Elements
,,L24-TF212,,L24-TF212,Precast Elements
,,L24-TF213,,L24-TF213,Precast Elements
,,L24-TF214,,L24-TF214,Precast Elements
,,L24-TF215,,L24-TF215,Precast Elements
,,L24-TF221,,L24-TF221,Precast Elements
,,L22-TF311,,L22-TF311,Precast Elements
,,L24-TF311,,L24-TF311,Precast Elements
,,L24-TF312,,L24-TF312,Precast Elements
,,L24-TF313,,L24-TF313,Precast Elements
,,L24-TF314,,L24-TF314,Precast Elements
,,L24-TF315,,L24-TF315,Precast Elements
,,L24-TF321,,L24-TF321,Precast Elements
,,L20-TW321,,L20-TW321,Precast Elements
,,L22-TW201,,L22-TW201,Precast Elements
,,L22-TW202,,L22-TW202,Precast Elements
,,L22-TW301,,L22-TW301,Precast Elements
,,L22-TW302,,L22-TW302,Precast Elements
,,L22-TW321,,L22-TW321,Precast Elements
,,L22-TW253,,L22-TW253,Precast Elements
,,L23M-TW251,,L23M-TW251,Precast Elements
,,L23M-TW252,,L23M-TW252,Precast Elements
,,L23M-TW254,,L23M-TW254,Precast Elements
,,L22-TW353,,L22-TW353,Precast Elements
,,L23M-TW351,,L23M-TW351,Precast Elements
,,L23M-TW352,,L23M-TW352,Precast Elements
,,L23M-TW354,,L23M-TW354,Precast Elements
,,L23M-TW261,,L23M-TW261,Precast Elements
,,L23M-TW262,,L23M-TW262,Precast Elements
,,L23M-TW263,,L23M-TW263,Precast Elements
,,L23M-TW363,,L23M-TW363,Precast Elements
,,L23M-TW362,,L23M-TW362,Precast Elements
,,L23M-TW361,,L23M-TW361,Precast Elements
,,L22-TC226,,L22-TC226,Precast Elements
,,L22-TW271,,L22-TW271,Precast Elements
,Columns,,,,
,,Pre-Pour,,Pre-Pour,
,,Concrete Placement,,Concrete Placement,
,,Post-Pour,,Post-Pour,
,,Transport,,Transport,
