"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5001308e-7721-4e48-a252-7614224412d5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Elements"
"a72fec16-544c-4f49-a843-a8253b1adf95","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L20-TW321"
"022ead01-5dff-490a-94d7-b65e247026d5","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC225"
"4123eae6-c3e2-4af0-8c80-fea31fe4af09","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC227"
"75b1fdbf-2e02-4a5d-8529-3d4aca4799e4","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC231"
"92d0b208-b5fe-4f3a-8945-cb0f893324a4","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC236"
"817e3f8e-3c98-4228-b28a-76566481796b","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC237"
"77ce2cdf-9dbf-4fcb-9b17-7fbb94af26bb","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC240"
"ff0eba6e-53cc-4f7f-8666-984781b6395b","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC241"
"59a574ec-b701-49f9-80be-cb34a9593405","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC253"
"b8618839-80ca-4053-9216-f8750c5829b8","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC254"
"7b013cb0-6a66-4840-87ed-50f7f8257435","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC320"
"ad40645b-28f1-4b68-92a4-9a886832918c","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC324"
"27c98ad6-dff9-4fa6-ac36-db5e9b9267c3","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC325"
"5daa0a75-9696-4c9d-b425-6b9371da5d1f","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC326"
"5d1f6986-ab57-452f-8f88-ff2eaad6260b","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC330"
"35044ef6-575c-4e43-8966-c5cde82fbebf","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC331"
"ba07ba23-fc7f-4ea3-aa33-b15e217297bc","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC332"
"6395bad7-2b54-4f08-96a0-7c200bd63a1c","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC335"
"ee55354a-0b7a-4f27-9128-30b0f002a394","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC336"
"48559cef-70d5-48b1-9ed1-7640100996c1","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC339"
"3d7b9c19-92c8-4220-ad9c-43b6448b9ace","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC348"
"5213efeb-84b0-4d67-b204-2561d3b88a5c","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC349"
"664235aa-d511-4726-9203-305365338e9e","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC350"
"47080e8e-fd44-4863-8e7a-40bbcca84671","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC351"
