Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Rooms - Overall Progress,,,,,,,,
,Scope,,,Site QA,,,,
,Rows,,,,,,,
,,GROUND FLOOR,grouping,GROUND FLOOR,,,,
,,East,dynamic,East,Ground Floor,Site QA,,
,,West,dynamic,West,Ground Floor,Site QA,,
,,LEVEL 1,grouping,LEVEL 1,,,,
,,East,dynamic,East,Level 1,Site QA,,
,,West,dynamic,West,Level 1,Site QA,,
,,LEVEL 2,grouping,LEVEL 2,,,,
,,East,dynamic,East,Level 2,Site QA,,
,,West,dynamic,West,Level 2,Site QA,,
,,LEVEL 3,grouping,LEVEL 3,,,,
,,East,dynamic,East,Level 3,Site QA,,
,,West,dynamic,West,Level 3,Site QA,,
,,LEVEL 4,grouping,LEVEL 4,,,,
,,East,dynamic,East,Level 4,Site QA,,
,,West,dynamic,West,Level 4,Site QA,,
,Columns,,,,,,,
,,Inwall Pipe Installation (1stFix),,Inwall Pipe Installation (1stFix),,,,
,,Inwall Installation,,Inwall Installation Checklist,,,,
,,Sanitary & Tapware Commissioning (2nd Fix),,Sanitary & Tapware Commissioning Sheet (2nd Fix),,,,
,,,,,,,,
Suspended Drainage - Overall Progress,,,,,,,,
,Scope,,,Site QA,Suspended Drainage,,,
,Rows,,,,,,,
,,GROUND FLOOR,grouping,GROUND FLOOR,,,,
,,East,grouping,East,,,,
,,Suspended Drainage,,Site QA,Ground Floor,East,Suspended Drainage,Suspended Drainage
,,West,grouping,West,,,,
,,Suspended Drainage,,Site QA,Ground Floor,West,Suspended Drainage,Suspended Drainage
,,LEVEL 1,grouping,LEVEL 1,,,,
,,East,grouping,East,,,,
,,ITP 01_Suspended Drainage_Level 1_Grids 1-5 & K-J,,Site QA,Level 1,East,Suspended Drainage,ITP 01_Suspended Drainage_Level 1_Grids 1-5 & K-J
,,ITP 02_Suspended Drainage_Level 1_Grids 1-7 & F-K,,Site QA,Level 1,East,Suspended Drainage,ITP 02_Suspended Drainage_Level 1_Grids 1-7 & F-K
,,ITP 03_Suspended Drainage_Level1_Grids 5-11 & L-F,,Site QA,Level 1,East,Suspended Drainage,ITP 03_Suspended Drainage_Level1_Grids 5-11 & L-F
,,West,grouping,West,,,,
,,Suspended Drainage,,Site QA,Level 1,West,Suspended Drainage,Suspended Drainage
,,LEVEL 2,grouping,LEVEL 2,,,,
,,East,grouping,East,,,,
,,ITP01_Suspended Drainage_Level 2_Grids 1-6 & L-F,,Site QA,Level 2,East,Suspended Drainage,ITP01_Suspended Drainage_Level 2_Grids 1-6 & L-F
,,ITP 02_Suspended Drainage_Level 2_ Grids_7-13 & L-F,,Site QA,Level 2,East,Suspended Drainage,ITP 02_Suspended Drainage_Level 2_ Grids_7-13 & L-F
,,West,grouping,West,,,,
,,ITP 03_Suspended Drainage_Level 2_Grids 1-6 & A-F,,Site QA,Level 2,West,Suspended Drainage,ITP 03_Suspended Drainage_Level 2_Grids 1-6 & A-F
,,ITP 04_Suspended Drainage_Level 2_Grids 6-12 & A-F,,Site QA,Level 2,West,Suspended Drainage,ITP 04_Suspended Drainage_Level 2_Grids 6-12 & A-F
,,LEVEL 3,grouping,LEVEL 3,,,,
,,East,grouping,East,,,,
,,ITP 01_Suspended Drainage_Level 3_Grids 1-6 & F-L,,Site QA,Level 3,East,Suspended Drainage,ITP 01_Suspended Drainage_Level 3_Grids 1-6 & F-L
,,ITP 02_Suspended Drainage_Level 3_Grids 7-13 & F-L,,Site QA,Level 3,East,Suspended Drainage, ITP 02_Suspended Drainage_Level 3_Grids 7-13 & F-L
,,West,grouping,West,,,,
,,ITP 03_Suspended Drainage_Level 3_Grids 1-6 & A-F,,Site QA,Level 3,West,Suspended Drainage,ITP 03_Suspended Drainage_Level 3_Grids 1-6 & A-F
,,ITP 04_Suspended Drainage_Level 3_Grids 6-12 & A-F,,Site QA,Level 3,West,Suspended Drainage,ITP 04_Suspended Drainage_Level 3_Grids 6-12 & A-F
,,LEVEL 4,grouping,LEVEL 4,,,,
,,East,grouping,East,,,,
,,ITP 01_Suspended Drainage_Level 4_Grids 1-6 & F-L,,Site QA,Level 4,East,Suspended Drainage,ITP 01_Suspended Drainage_Level 4_Grids 1-6 & F-L
,,ITP 02_Suspended Drainage_Level 3_Grids 7-13 & F-L,,Site QA,Level 4,East,Suspended Drainage,ITP 02_Suspended Drainage_Level 3_Grids 7-13 & F-L
,,West,grouping,West,,,,
,,Suspended Drainage,,Site QA,Level 4,West,Suspended Drainage,Suspended Drainage
,,ROOF,grouping,ROOF,,,,
,,East,grouping,East,,,,
,,Suspended Drainage,,Site QA,Roof,East,Suspended Drainage,Suspended Drainage
,,West,grouping,West,,,,
,,Suspended Drainage,,Site QA,Roof,West,Suspended Drainage,Suspended Drainage
,Columns,,,,,,,
,,Identify Route,,Identify Route - Pass once completed,,,,
,,Site Set Out,,Site Set Out - Pass once completed,,,,
,,Install Service,,Install Service - Pass once completed,,,,
,,Test,,Test - Pass once completed,,,,
