"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"B00-Basement - Stage 1 (Operational-Utilities Rooms)","dynamic","b00-basement","stage 1  (operational-utilities rooms)"
,,"B00-Basement - Stage 2 - Operational-Utilities Rooms","dynamic","b00-basement","operational-utilities rooms","stage 2"
,,"B00-Basement - Stage 2 - Hallways/ Corridors","dynamic","b00-basement","stage 2","hallways/ corridors"
,,"B00-Basement - Stage 2 - Lobbies","dynamic","b00-basement","stage 2","lobbies"
,,"B00-Basement - Stage 2 - Village Amenities Rooms","dynamic","b00-basement","stage 2","village amenities rooms"
,,"B03 - Ground Level - Common Areas- Utilities rooms","dynamic","b03","common areas- utilities rooms","ground level"
,,"B03 - Ground Level - Independent Apartments","dynamic","b03","independent apartments","ground level"
,,"B03 - Level 1 - Common Areas- Utilities rooms","dynamic","b03","common areas- utilities rooms","level 1"
,,"B03 - Level 1 - Independent Apartments","dynamic","b03","independent apartments","level 1"
,,"B03 - Level 2 - Common Areas- Utilities rooms","dynamic","b03","common areas- utilities rooms","level 2"
,,"B03 - Level 2 - Independent Apartments","dynamic","b03","independent apartments","level 2"
,,"B03 - Level 3 - Common Areas- Utilities rooms","dynamic","b03","common areas- utilities rooms","level 3"
,,"B03 - Level 3 - Independent Apartments","dynamic","b03","independent apartments","level 3"
,,"B02 - Ground Level - Common Areas- Utilities rooms","dynamic","b02","common areas- utilities rooms","ground level"
,,"B02 - Ground Level - Independent Apartments","dynamic","b02","independent apartments","ground level"
,,"B02 - Level 1 - Common Areas- Utilities rooms","dynamic","b02","common areas- utilities rooms","level 1"
,,"B02 - Level 1 - Independent Apartments","dynamic","b02","independent apartments","level 1"
,,"B02 - Level 2 - Common Areas- Utilities rooms","dynamic","b02","common areas- utilities rooms","level 2"
,,"B02 - Level 2 - Independent Apartments","dynamic","b02","independent apartments","level 2"
,,"B02 - Level 3 - Common Areas- Utilities rooms","dynamic","b02","common areas- utilities rooms","level 3"
,,"B02 - Level 3 - Independent Apartments","dynamic","b02","independent apartments","level 3"
,,"B01 - Ground Level - Operational-Utilities Rooms","dynamic","operational-utilities rooms","b01","ground level"
,,"B01 - Ground Level - Village Amenities","dynamic","b01","ground level","village amenities"
,,"B01 - Ground Level - Lobbies","dynamic","b01","ground level","lobbies"
,,"B01 - Ground Level - Corridors","dynamic","b01","ground level","corridors"
,,"B01 - Ground Level - ALS","dynamic","als","b01","ground level"
,,"B01 - Level 1 - Operational-Utilities Rooms","dynamic","operational-utilities rooms","level 1","b01"
,,"B01 - Level 1 - Village Amenities","dynamic","level 1","b01","village amenities"
,,"B01 - Level 1 - Lobbies","dynamic","level 1","b01","lobbies"
,,"B01 - Level 1 - Corridors","dynamic","level 1","b01","corridors"
,,"B01 - Level 1 - ALS","dynamic","als","level 1","b01"
,,"B01 - Level 1 - Care Rooms","dynamic","care rooms","level 1","b01"
,,"B01 - Level 2 - Operational-Utilities Rooms","dynamic","operational-utilities rooms","b01","level 2"
,,"B01 - Level 2 - Village Amenities","dynamic","b01","level 2","village amenities"
,,"B01 - Level 2 - Lobbies","dynamic","b01","lobbies","level 2"
,,"B01 - Level 2 - Corridors","dynamic","b01","corridors","level 2"
,,"B01 - Level 2 - ALS","dynamic","als","b01","level 2"
,,"B01 - Level 2 - Care Rooms","dynamic","care rooms","b01","level 2"
,"Columns"
,,"Prewire",,"prewire"
,,"Fit-off",,"fit-off"
,,"Handover",,"handover"
,,"Termination & Testing",,"termination & testing"

