type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Approved Design Report,,,,,,Approved Design Report,
section,Details,,,,,,,
checkpoint,Approved Design Report,,,,,,,
,,,,,,,,
checklist,Approved JMF,,,,,,Approved JMF,
section,Details,,,,,,,
checkpoint,Approved JMF,,,,,,,
,,,,,,,,
checklist,Production and Testing ITPs,,,,,,Production and Testing ITPs,
section,Details,,,,,,,
checkpoint,Production and Testing ITPs,,,,,,,
,,,,,,,,
checklist,QMP,,,,,,QMP,
section,Details,,,,,,,
checkpoint,QMP,,,,,,,
,,,,,,,,
checklist,Verified Program,,,,,,Verified Program,
section,Details,,,,,,,
checkpoint,Verified Program,,,,,,,
