Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Rough In - Detailed Progress,,,,,,,,
,Scope,,,rough in,,,,
,Rows,,,,,,,
,,Building A - Rough In,grouping,building a - rough in,,,,
,,Ground - Apartment G.01,,apartment g.01,ground,site qa,building a,rough in
,,Ground - Apartment G.02,,apartment g.02,ground,site qa,building a,rough in
,,Ground - Apartment G.03,,ground,site qa,building a,apartment g.03,rough in
,,Ground - Apartment G.04,,ground,site qa,building a,rough in,apartment g.04
,,Ground - Apartment G.05,,ground,site qa,apartment g.05,building a,rough in
,,Ground - Apartment G.06,,ground,site qa,building a,apartment g.06,rough in
,,Ground - Apartment G.07,,ground,apartment g.07,site qa,building a,rough in
,,Ground - Apartment G.08,,ground,site qa,apartment g.08,building a,rough in
,,Ground - Apartment G.09,,apartment g.09,ground,site qa,building a,rough in
,,Ground - Apartment G.10,,ground,apartment g.10,site qa,building a,rough in
,,Ground - Apartment G.11,,ground,site qa,apartment g.11,building a,rough in
,,Ground - Apartment G.12,,apartment g.12,ground,site qa,building a,rough in
,,Ground - Apartment G.13,,apartment g.13,ground,site qa,building a,rough in
,,Ground - Apartment G.14,,ground,site qa,building a,apartment g.14,rough in
,,Ground - Apartment G.15,,ground,site qa,building a,rough in,apartment g.15
,,Ground - Apartment G.16,,ground,site qa,apartment g.16,building a,rough in
,,Ground - Apartment G.17,,ground,site qa,building a,apartment g.17,rough in
,,Ground - Apartment G.18,,ground,apartment g.18,site qa,building a,rough in
,,Ground - Apartment G.19,,ground,site qa,apartment g.19,building a,rough in
,,Ground - Apartment G.20,,ground,site qa,building a,apartment g.20,rough in
,,Level 1 - Apartment 1.01,,apartment 1.01,site qa,building a,level 1,rough in
,,Level 1 - Apartment 1.02,,site qa,apartment 1.02,building a,level 1,rough in
,,Level 1 - Apartment 1.03,,apartment 1.03,site qa,building a,level 1,rough in
,,Level 1 - Apartment 1.04,,apartment 1.04,site qa,building a,level 1,rough in
,,Level 1 - Apartment 1.05,,site qa,building a,level 1,apartment 1.05,rough in
,,Level 1 - Apartment 1.06,,site qa,building a,level 1,rough in,apartment 1.06
,,Level 1 - Apartment 1.07,,site qa,apartment 1.07,building a,level 1,rough in
,,Level 1 - Apartment 1.08,,site qa,building a,level 1,apartment 1.08,rough in
,,Level 1 - Apartment 1.09,,apartment 1.09,site qa,building a,level 1,rough in
,,Level 1 - Apartment 1.10,,site qa,apartment 1.10,building a,level 1,rough in
,,Level 1 - Apartment 1.11,,site qa,building a,level 1,apartment 1.11,rough in
,,Level 1 - Apartment 1.12,,apartment 1.12,site qa,building a,level 1,rough in
,,Level 1 - Apartment 1.13,,site qa,apartment 1.13,building a,level 1,rough in
,,Level 1 - Apartment 1.14,,apartment 1.14,site qa,building a,level 1,rough in
,,Level 1 - Apartment 1.15,,apartment 1.15,site qa,building a,level 1,rough in
,,Level 1 - Apartment 1.16,,site qa,building a,level 1,apartment 1.16,rough in
,,Level 1 - Apartment 1.17,,site qa,building a,level 1,rough in,apartment 1.17
,,Level 1 - Apartment 1.18,,site qa,apartment 1.18,building a,level 1,rough in
,,Level 1 - Apartment 1.19,,site qa,building a,level 1,apartment 1.19,rough in
,,Level 1 - Apartment 1.20,,site qa,building a,level 1,rough in,apartment 1.20
,,Level 1 - Apartment 1.21,,site qa,apartment 1.21,building a,level 1,rough in
,,Level 2 - Apartment 2.01,,site qa,building a,apartment 2.01,level 2,rough in
,,Level 2 - Apartment 2.02,,apartment 2.02,site qa,building a,level 2,rough in
,,Level 2 - Apartment 2.03,,site qa,apartment 2.03,building a,level 2,rough in
,,Level 2 - Apartment 2.04,,apartment 2.04,site qa,building a,level 2,rough in
,,Level 2 - Apartment 2.05,,apartment 2.05,site qa,building a,level 2,rough in
,,Level 2 - Apartment 2.06,,site qa,building a,level 2,apartment 2.06,rough in
,,Level 2 - Apartment 2.07,,site qa,building a,level 2,rough in,apartment 2.07
,,Level 2 - Apartment 2.08,,site qa,apartment 2.08,building a,level 2,rough in
,,Level 2 - Apartment 2.09,,site qa,building a,apartment 2.09,level 2,rough in
,,Level 2 - Apartment 2.10,,site qa,building a,level 2,rough in,apartment 2.10
,,Level 2 - Apartment 2.11,,site qa,apartment 2.11,building a,level 2,rough in
